"","node","indNames","total_count","percent_occurrence","node_id","Lisaname","plot_names"
"1","AbundanceIndNames","07.Cond2NCC_DFA1",14,100,"X07","X07.Cond2NCC_DFA1_cpue_IntSprJunHW","Salmon_Abund_JSOES"
"2","GrowthIndNames","06.Cond1NCC_DFA1",14,100,"X06","X06.Cond1NCC_DFA1_IGF_mu","Salmon_IGF_JSOES"
"3","PredAKindNames","10.PredMammalNCC_0_smoothed",7,50,"X10","X10.PredMammalNCC_0_Harbor_seal_CR_2yrLead","Harbor_seal_CR_adult"
"4","PredAKindNames","10.PredMammalNCC_1_smoothed",6,42.9,"X10","X10.PredMammalNCC_1_Harbour_s_2yrLead_WS","Harbor_seal_WS_adult"
"5","PredAKindNames","10.PredMammalNCC_DFA1",1,7.1,"X10","X10.PredMammalNCC_DFA1_ssl.est.wholerange_2yrLead","SSL_wholerange_adult"
"6","PredNCCindNames","09.PredFishNCC_b_DFA1",8,57.1,"X09","X09.PredFishNCC_b_DFA_HakeAge5Plus","Hake_Mackerel"
"7","PredNCCindNames","08.PredBirdNCC_0_smoothed",6,42.9,"X08","X08.PredBirdNCC_0_commonMurre_JSOES","Murre_JSOES"
"8","PreyAKindNames","12.ZooPreyAK_DFA1",6,42.9,"X12","X12.ZooPreyAK_DFA1_biomassEuphShelfSum","Prey_WCVI"
"9","PreyAKindNames","12.ZooPreyAK_0_smoothed",3,21.4,"X12","X12.ZooPreyAK_0_copepodBiomass_WGoA","Copepods_WGOA"
"10","PreyAKindNames","13.FishPreyAK_DFA1",2,14.3,"X13","X13.FishPreyAK_DFA1_WGOA_DFA_midTrophic","Low-Mid_trophic_DFA_WGOA"
"11","PreyAKindNames","13.FishPreyAK_b_2_smoothed",2,14.3,"X13","X13.FishPreyAK_b_hexagram_EAI","Greenlings_AK_EAI"
"12","PreyAKindNames","13.FishPreyAK_1_smoothed",1,7.1,"X13","X13.FishPreyAK_1_WGOA_DFA_seabirds","Seabirds_DFA_WGOA"
"13","PreyNCCindNames","05.ForageFishNCC_DFA1",9,64.3,"X05","X05.ForageFishNCC_DFA1_abundSardine","Herring_WCVI"
"14","PreyNCCindNames","01.ZooPreyNCC_JSOES_DFA1",5,35.7,"X01","X01.ZooPreyNCC_JSOES_DFA_sumPreyOfPrey_planktonJun","Plankton_JSOES"
