"","Cluster 1 (Left)","Cluster 2 (Right)"
"1","X01.ZooPreyNCC_JSOES_Cassin_s_aukl_WS","X01.ZooPreyNCC_JSOES_habCompInd"
"2","X01.ZooPreyNCC_JSOES_DFA_sumPreyOfPrey_planktonJun *","X01.ZooPreyNCC_NHL_NHLlogSum_win_05"
"3","X01.ZooPreyNCC_WPbirds_Red_necked_phal_WS","X01.ZooPreyNCC_NHL_NHLlogSum_win_15"
"4","X02.krill","X01.ZooPreyNCC_NHL_NHLlogSum_win_25"
"5","X03.FishPreyNCC_b_DFA_comMurreDietHerrSard_Yaquina_NCC","X01.ZooPreyNCC_WPbirds_Red_phal_WS"
"6","X04.CompFishNCC_0_CaliforniaMarketSquid_","X01.ZooPreyNCC_WPbirds_Sabine_gull_WS"
"7","X04.CompFishNCC_1_PacificPompano_","X02.CompJellyNCC_DFA1_SeaNettle_"
"8","X04.CompFishNCC_2_Sablefish__JSOES","X03.FishPreyNCC_b_HakeAge1"
"9","X04.CompFishNCC_smoothed_marketsquid_GAM","X03.FishPreyNCC_DFA1_rhinoAukDietAnch_NCC"
"10","X05.ForageFishNCC_1_anchovy_GAM","X05.ForageFishNCC_0_abundAnchovy"
"11","X05.ForageFishNCC_2_herring_GAM","X05.ForageFishNCC_DFA1_abundSardine *"
"12","X05.ForageFishNCC_3_herring_NCC","X07.Cond2NCC_DFA1_cpue_IntSprJunHW *"
"13","X06.Cond1NCC_0_Lmu_IntSprJunH","X08.PredBirdNCC_0_commonMurre_JSOES *"
"14","X06.Cond1NCC_1_Lmu_IntSprMayW","X08.PredBirdNCC_ess_Common_loon_WS"
"15","X06.Cond1NCC_2_StomFull_May","X08.PredBirdNCC_ess_Short_tailed_shrw_WS"
"16","X06.Cond1NCC_DFA1_IGF_mu *","X08.PredBirdNCC_ess_Sooty_shrw_WS"
"17","X08.PredBirdNCC_1_sootyShear_JSOES","X08.PredBirdNCC_secular_G_W_western_gull_WS"
"18","X08.PredBirdNCC_ess_DFA_Lesser_s_p_WS","X10.PredMammalNCC_0_Harbor_seal_CR_2yrLead *"
"19","X08.PredBirdNCC_ess_DFA_Marbled_mrlt_WS","X10.PredMammalNCC_2_Northern_f_s_2yrLead_WS *"
"20","X08.PredBirdNCC_ess_Northern_fulm_WS","X11.PredMammalSmolt_0_Harbor_seal_CR"
"21","X08.PredBirdNCC_ess_Pigeon_guil_WS","X11.PredMammalSmolt_DFA1_Harbour_p_WS"
"22","X08.PredBirdNCC_hump_Common_murre_WS","X12.ZooPreyAK_DFA1_biomassEuphShelfSum *"
"23","X08.PredBirdNCC_hump_DFA_DC_corm_WS","X13.FishPreyAK_b_ammod_WAI"
"24","X08.PredBirdNCC_secular_Ancient_mrlt_WS","X13.FishPreyAK_b_DFA_ammod_EAI"
"25","X08.PredBirdNCC_secular_DFA_Caspian_tern_WS","X13.FishPreyAK_DFA1_WGOA_DFA_midTrophic *"
"26","X08.PredBirdNCC_secular_Rhinoceros_aukl_WS",""
"27","X08.PredBirdNCC_secular_Western_grebe_WS",""
"28","X09.PredFishNCC_b_canaryRockfish",""
"29","X09.PredFishNCC_b_chilipepper",""
"30","X09.PredFishNCC_b_DFA_HakeAge5Plus *",""
"31","X09.PredFishNCC_DFA1_ChinAbundSnakeFall",""
"32","X10.PredMammalNCC_1_Harbour_s_2yrLead_WS *",""
"33","X10.PredMammalNCC_DFA1_ssl.est.wholerange_2yrLead *",""
"34","X12.ZooPreyAK_0_copepodBiomass_WGoA *",""
"35","X12.ZooPreyAK_1_copepodCom_EGoA *",""
"36","X12.ZooPreyAK_2_copepodCom_WGoA",""
"37","X13.FishPreyAK_0_estAbundHerringRecruits",""
"38","X13.FishPreyAK_1_WGOA_DFA_seabirds *",""
"39","X13.FishPreyAK_b_gadid_WAI",""
"40","X13.FishPreyAK_b_hexagram_EAI *",""
"41","X13.FishPreyAK_b_hexagram_WAI",""
"42","X14.CompAK_0_pinkSalmon *",""
"43","X14.CompAK_1_pinkSalmonNorthAmerica",""
"44","X14.CompAK_smoothed_pinkSalmonAsia *",""
