"year","Shad_bonn_pass","Lmpry_bonn_pass","oncorhynchus_bonn_pass","Adult_chin_bonn_pass","Achin_bonn_pass","Jchin_bonn_pass","Spring_Achin_bonn_pass","Spring_Jchin_bonn_pass","Summer_Achin_bonn_pass","Summer_Jchin_bonn_pass","Fall_Achin_bonn_pass","Fall_Jchin_bonn_pass","Adult_stlhd_bonn_pass","Ch1_bonn_pass","Ch0_bonn_pass","Juve_stlhd_bonn_pass","eulachon_ssb_est","sardine_northern_bmass","jack_mackerel_bmass","herring_bmass","anchovy_northern_bmass","hake_cpue","sturg_abund","hs_nonpup_total_ds","hs_odfw_ratio_ds","hs_nobs_ds","csl_nonpup_total_emb","csl_nobs_emb","ssl_nonpup_total_sj","ssl_nobs_sj","csl_bonn","ssl_bonn","total_bonn","csl_removed","ssl_removed"
1976,305219,0,631950,507773,507773,0,507773,0,0,0,0,0,124177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,495723,0,560094,366657,366657,0,366657,0,0,0,0,0,193437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,0.25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,861166,0,499031,394600,394600,0,394600,0,0,0,0,0,104431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,0.333333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,1039857,0,390313,276306,276306,0,276306,0,0,0,0,0,114007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,939390,0,374772,245518,207770,37748,207770,37748,0,0,0,0,129254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,881178,0,444920,285650,232299,53351,232299,53351,0,0,0,0,159270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,780212,0,480449,322809,247911,74898,247911,74898,0,0,0,0,157640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0.1,10,NA,NA,5,1,NA,NA,NA,NA,NA
1983,1409931,0,457613,243834,185665,58169,185665,58169,0,0,0,0,213779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,0.333333333333333,9,NA,NA,2,3,NA,NA,NA,NA,NA
1984,1274698,0,638889,323302,216465,106837,216465,106837,0,0,0,0,315587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,0.363636363636364,11,NA,NA,6,5,NA,NA,NA,NA,NA
1985,974131,0,807834,463873,296429,167444,296429,167444,0,0,0,0,343961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,0.75,4,NA,NA,27,9,NA,NA,NA,NA,NA
1986,858169,0,950772,570881,370729,200152,370729,200152,0,0,0,0,379891,150849,175346,62962,NA,NA,NA,NA,NA,NA,NA,150,0.75,4,NA,NA,23,8,NA,NA,NA,NA,NA
1987,943875,0,850575,547494,468610,78884,468610,78884,0,0,0,0,303081,191388,427306,67911,NA,NA,NA,NA,NA,NA,NA,479,0.666666666666667,3,NA,NA,11,5,NA,NA,NA,NA,NA
1988,1164220,0,773097,494025,411896,82129,411896,82129,0,0,0,0,279072,365812,724096,103703,NA,NA,NA,NA,NA,NA,NA,303,0.666666666666667,3,NA,NA,0,4,NA,NA,NA,NA,NA
1989,1877404,0,703915,416117,373205,42912,373205,42912,0,0,0,0,287798,435451,1756758,206225,NA,NA,NA,NA,NA,NA,NA,531,0.666666666666667,3,NA,NA,1,1,NA,NA,NA,NA,NA
1990,2947865,0,523995,340968,296525,44443,296525,44443,0,0,0,0,183027,337787,1219786,202891,NA,NA,NA,NA,NA,NA,NA,497,0,1,NA,NA,45,1,NA,NA,NA,NA,NA
1991,1914417,0,549167,274622,226411,48211,226411,48211,0,0,0,0,274545,609417,1257383,230199,NA,NA,NA,NA,NA,661.801719218624,NA,377,0.333333333333333,6,NA,NA,172,3,NA,NA,NA,NA,NA
1992,2551439,0,571274,256299,219688,36611,219688,36611,0,0,0,0,314975,723652,2320366,108585,NA,NA,NA,NA,NA,770.857196825375,NA,985,0.5,6,NA,NA,267,6,NA,NA,NA,NA,NA
1993,1993504,0,466034,277657,259337,18320,259337,18320,0,0,0,0,188377,2168048,4339391,790024,NA,NA,NA,NA,NA,705.964049794319,NA,353,0.333333333333333,3,NA,NA,177,3,NA,NA,NA,NA,NA
1994,1557555,0,405428,243450,208197,35253,208197,35253,0,0,0,0,161978,779720,3607433,199211,NA,NA,NA,NA,NA,633.095500410132,NA,1147,0.25,4,NA,NA,150,4,NA,NA,NA,NA,NA
1995,1716179,0,442498,240050,189419,50631,189419,50631,0,0,0,0,202448,1776322,3406406,483444,NA,NA,NA,NA,NA,447.181754218847,NA,745,0.125,8,NA,NA,132,3,NA,NA,NA,NA,NA
1996,1924674,0,501849,296633,272884,23749,272884,23749,0,0,0,0,205216,470112,1921838,436835,NA,NA,NA,NA,NA,575.287606259163,NA,779,0.25,16,NA,NA,188,8,NA,NA,NA,NA,NA
1997,2171561,0,645473,387088,360673,26415,360673,26415,0,0,0,0,258385,286142,1499546,780844,NA,NA,NA,NA,NA,786.856008001959,NA,217,1,2,NA,NA,135,4,NA,NA,NA,NA,NA
1998,1890992,0,466038,280944,248860,32084,248860,32084,0,0,0,0,185094,346280,1591876,397217,NA,NA,NA,NA,NA,610.537438985215,NA,778,1,1,46,8,301,2,NA,NA,NA,NA,NA
