H_code,path_label,model_id,rhs,LisaName,Expected_Sign,N_Top_Runs,Pct_Significant,Pct_Positive,Pct_Negative,Pct_Supported,Mean_Beta
H1a,PreyNCC -> Growth,DAG1A_long,PreyNCC,05.ForageFishNCC_DFA1,Negative (-),99,100,0,100,100,-0.934
H1a,PreyNCC -> Growth,DAG1A_long,PreyNCC,04.CompFishNCC_smoothed,Positive (+),1,100,100,0,100,0.91
H1a,PreyNCC -> Growth,DAG1A_short,PreyNCC,05.ForageFishNCC_DFA1,Negative (-),61,100,0,100,100,-0.943
H1a,PreyNCC -> Growth,DAG1A_short,PreyNCC,01.ZooPreyNCC_JSOES_DFA1,Positive (+),39,100,100,0,100,0.931
H1a,PreyNCC -> Growth,DAG1B_long,PreyNCC,05.ForageFishNCC_DFA1,Negative (-),93,100,0,100,100,-0.934
H1a,PreyNCC -> Growth,DAG1B_long,PreyNCC,04.CompFishNCC_smoothed,Positive (+),7,100,100,0,100,0.91
H1a,PreyNCC -> Growth,DAG1B_short,PreyNCC,05.ForageFishNCC_DFA1,Negative (-),71,100,0,100,100,-0.945
H1a,PreyNCC -> Growth,DAG1B_short,PreyNCC,01.ZooPreyNCC_JSOES_DFA1,Positive (+),29,100,100,0,100,0.931
H1b,Growth -> CPUE,DAG1A_long,Growth,06.Cond1NCC_DFA1,Positive (+),100,0,0,100,0,-0.05
H1b,Growth -> CPUE,DAG1A_short,Growth,06.Cond1NCC_DFA1,Positive (+),74,0,35.1,64.9,35.1,-0.031
H1b,Growth -> CPUE,DAG1A_short,Growth,06.Cond1NCC_0_smoothed,Positive (+),26,0,88.5,11.5,88.5,0.097
H1c,Growth -> SAR,DAG1B_long,Growth,06.Cond1NCC_DFA1,Positive (+),100,41,57,43,57,0.194
H1c,Growth -> SAR,DAG1B_short,Growth,06.Cond1NCC_DFA1,Positive (+),88,56.8,70.5,29.5,70.5,0.1
H1c,Growth -> SAR,DAG1B_short,Growth,06.Cond1NCC_0_smoothed,Positive (+),12,33.3,83.3,16.7,83.3,0.224
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),28,100,0,100,0,-0.418
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,12.ZooPreyAK_DFA1,Positive (+),13,92.3,0,100,0,-0.374
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),9,88.9,0,100,0,-0.302
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),9,66.7,0,100,0,-0.319
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),8,50,0,100,0,-0.289
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),5,40,100,0,100,0.199
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,14.CompAK_1_smoothed,Positive (+),5,20,0,100,0,-0.237
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),4,50,100,0,100,0.226
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),4,50,0,100,0,-0.341
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,14.CompAK_smoothed,Positive (+),4,50,100,0,100,0.307
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),3,0,0,100,0,-0.125
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_DFA1,Positive (+),3,0,33.3,66.7,33.3,-0.068
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),3,0,100,0,100,0.118
H1e,PreyAK -> SAR,DAG1A_long,PreyAK,14.CompAK_0_smoothed,Positive (+),2,0,50,50,50,0.026
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,12.ZooPreyAK_DFA1,Positive (+),14,78.6,0,100,0,-0.435
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),13,100,0,100,0,-0.342
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),11,100,0,100,0,-0.247
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),10,70,30,70,30,-0.596
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),9,100,100,0,100,0.221
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),9,100,0,100,0,-0.202
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_DFA1,Positive (+),6,0,100,0,100,0.184
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),6,50,0,100,0,-0.307
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,14.CompAK_1_smoothed,Positive (+),5,0,0,100,0,-0.142
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,14.CompAK_smoothed,Positive (+),5,0,100,0,100,0.16
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),3,0,100,0,100,0.131
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),3,0,0,100,0,-0.028
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,0,0,100,0,-0.028
H1e,PreyAK -> SAR,DAG1A_short,PreyAK,14.CompAK_0_smoothed,Positive (+),3,0,100,0,100,0.125
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,12.ZooPreyAK_DFA1,Positive (+),43,100,0,100,0,-0.611
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),20,100,0,100,0,-0.436
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_2_smoothed,Positive (+),6,83.3,0,100,0,-0.313
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_DFA1,Positive (+),6,83.3,0,100,0,-0.476
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,12.ZooPreyAK_1_smoothed,Positive (+),4,75,100,0,100,0.28
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_0_smoothed,Positive (+),4,25,0,100,0,-0.254
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),4,50,0,100,0,-0.426
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,14.CompAK_1_smoothed,Positive (+),4,25,0,100,0,-0.237
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_3_smoothed,Positive (+),3,66.7,100,0,100,0.316
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_b_1_smoothed,Positive (+),2,0,100,0,100,0.159
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,14.CompAK_smoothed,Positive (+),2,50,100,0,100,0.408
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,12.ZooPreyAK_2_smoothed,Positive (+),1,0,0,100,0,-0.202
H1e,PreyAK -> SAR,DAG1B_long,PreyAK,13.FishPreyAK_DFA1,Positive (+),1,100,0,100,0,-1.079
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,12.ZooPreyAK_DFA1,Positive (+),36,100,0,100,0,-0.689
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,12.ZooPreyAK_0_smoothed,Positive (+),11,100,0,100,0,-0.318
H1e,PreyAK -> SAR,DAG1B_short,PreyAK,13.FishPreyAK_b_4_smoothed,Positive (+),10,50,0,100,0,-0.369
