model_group,forage_var,importance_aicw,rank,importance_rel_top1
long,stka_herr_matbiom,0.7069929849950656,1,1
long,est_abund_herring_recruits,0.5226556678999859,2,0.739265705590606
long,capelin_w_go_a,0.3417247341119565,3,0.4833495400443634
long,sitka_herring_e_go_a,0.33758620448726984,4,0.4774958332714235
long,mid_il_capelin,0.29631802034140736,5,0.4191244137216941
long,crg_herr_matbiom,0.2879377068312362,6,0.40727095309615535
long,pav_capelin_cpue,0.13077626660103225,7,0.18497533833655366
long,abund_herring,0.0686481236710066,8,0.09709873383182964
long,x13_ammod_wai,0.06712970769732222,9,0.09495102373298761
long,ammod_eai,0.0033181868333216585,10,0.004693380137774377
short,stka_herr_matbiom,0.6137454782549536,1,1
short,sitka_herring_e_go_a,0.5661961529697102,2,0.9225259867975903
short,mid_il_capelin,0.44661629307531303,3,0.7276897490881161
short,x13_ammod_wai,0.37331491300268577,4,0.6082568853527398
short,capelin_w_go_a,0.32473824324326533,5,0.5291089788010904
short,crg_herr_matbiom,0.2727306768514815,6,0.4443709754521198
short,pav_capelin_cpue,0.11997467304813508,7,0.19547952253637113
short,est_abund_herring_recruits,0.023252732725471924,8,0.037886605358927954
short,abund_herring,0.015107490936491602,9,0.02461523786610426
short,ammod_eai,0.0034344820886510054,10,0.005595938724332728
