model_group,param,level,importance_aicw,importance_rel_top1,rank
long,k0,-1.5,0.10903278284333318,0.22425710846364846,3
long,k0,-1,0.48619543697098516,1,1
long,k0,-0.5,0.3445110771402307,0.7085855829634004,2
long,k0,0,0.05453503251532748,0.11216689497351655,4
long,k0,0.5,0.005139911166763154,0.010571697667063647,5
long,k0,1,5.857593633602856e-4,0.0012047816964502736,6
short,k0,-1.5,0.0036900543593027767,0.010467786169412198,6
short,k0,-1,0.024441195398050487,0.06933372309451696,5
short,k0,-0.5,0.1386234709690616,0.39324105036762474,4
short,k0,0,0.35251525963392755,1,1
short,k0,0.5,0.3303643411145042,0.9371632350258364,2
short,k0,1,0.15036567852515342,0.4265508355051124,3
long,kT,0.5,0.0017925363796559074,0.0025173559986680213,4
long,kT,1,0.03486969673015008,0.048969405157750834,3
long,kT,1.5,0.25126669684512654,0.3528674417698555,2
long,kT,2,0.7120710700450674,1,1
short,kT,0.5,0.06063446961614057,0.1481168266321345,4
short,kT,1,0.28710378368471623,0.7013321238343785,2
short,kT,1.5,0.40936921884461774,1,1
short,kT,2,0.2428925278545255,0.5933336378833091,3
long,kF,0.5,0.020174971155496893,0.04093863894724388,4
long,kF,1,0.12257364945941265,0.24872394319620728,3
long,kF,1.5,0.36444136727170195,0.7395169706654605,2
long,kF,2,0.4928100121133885,1,1
short,kF,0.5,0.00720946588508249,0.010984461574961715,4
short,kF,1,0.0679246932055694,0.10349118705887367,3
short,kF,1.5,0.26853272563713987,0.40914090633042083,2
short,kF,2,0.6563331152722083,1,1
long,Q10,1.5,0.3408544158576295,1,1
long,Q10,2,0.33281972780277835,0.976427801192967,2
long,Q10,2.5,0.32632585633959216,0.9573760560458582,3
short,Q10,1.5,0.3387615194974677,1,1
short,Q10,2,0.332917989909354,0.9827503147441828,2
short,Q10,2.5,0.3283204905931783,0.9691788225540551,3
long,shark_col,other_sharks_goa,0.9643072964380464,1,1
long,shark_col,pacific_sleeper_shark_goa,0.017221274502424656,0.01785869977966206,3
long,shark_col,salmon_shark_goa,0.018471429059529004,0.0191551273414177,2
short,shark_col,other_sharks_bsai,0.5739622894540067,1,1
short,shark_col,pacific_sleeper_shark_bsai,0.1943431094315589,0.3385990909201225,3
short,shark_col,salmon_shark_bsai,0.23169460111443435,0.403675651469783,2
