model_group,shark_col,importance_aicw,param,level,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,rank,importance_rel_top1
long,pacific_sleeper_shark_goa,0.5182592115295764,shark_col,pacific_sleeper_shark_goa,NA,NA,NA,NA,NA,1,1
long,salmon_shark_goa,0.48174078847042356,shark_col,salmon_shark_goa,NA,NA,NA,NA,NA,2,0.9295363743726361
short,pacific_sleeper_shark_bsai,0.5407182943003475,shark_col,pacific_sleeper_shark_bsai,NA,NA,NA,NA,NA,1,1
short,salmon_shark_bsai,0.45928170569965254,shark_col,salmon_shark_bsai,NA,NA,NA,NA,NA,2,0.8493918377478455
long,NA,0.3671415889943186,shark_temp_col,enso_dj,enso_dj,NA,NA,NA,NA,1,1
long,NA,0.2963647736790874,shark_temp_col,pdo_djf,pdo_djf,NA,NA,NA,NA,3,0.8072220161461293
long,NA,0.336493637326594,shark_temp_col,swln_temp_spr_176to226m,swln_temp_spr_176to226m,NA,NA,NA,NA,2,0.9165228005040887
short,NA,0.2962468921313826,shark_temp_col,enso_dj,enso_dj,NA,NA,NA,NA,3,0.7941108857609122
short,NA,0.3730548182166281,shark_temp_col,pdo_djf,pdo_djf,NA,NA,NA,NA,1,1
short,NA,0.33069828965198933,shark_temp_col,swln_temp_spr_176to226m,swln_temp_spr_176to226m,NA,NA,NA,NA,2,0.8864603095943854
long,NA,0.2490900716178368,Q10,1.5,NA,1.5,NA,NA,NA,4,0.9924889816868779
long,NA,0.24963916977064032,Q10,2,NA,2,NA,NA,NA,3,0.9946768403316746
long,NA,0.25029560804161693,Q10,2.5,NA,2.5,NA,NA,NA,2,0.997292391191933
long,NA,0.25097515056990594,Q10,3,NA,3,NA,NA,NA,1,1
short,NA,0.25060462043856846,Q10,1.5,NA,1.5,NA,NA,NA,1,1
short,NA,0.25008990302665934,Q10,2,NA,2,NA,NA,NA,2,0.9979460976776552
short,NA,0.24976466874964864,Q10,2.5,NA,2.5,NA,NA,NA,3,0.9966482992713787
short,NA,0.24954080778512364,Q10,3,NA,3,NA,NA,NA,4,0.9957550158030483
long,NA,0.10947028643790208,overlap_form,constant,NA,NA,constant,NA,NA,3,0.23151987846871608
long,NA,0.47283320621081854,overlap_form,linear,NA,NA,linear,NA,NA,1,1
long,NA,0.4176965073512794,overlap_form,logistic,NA,NA,logistic,NA,NA,2,0.8833908064507725
short,NA,0.11884560535374393,overlap_form,constant,NA,NA,constant,NA,NA,3,0.2657944099303747
short,NA,0.43402081728894554,overlap_form,linear,NA,NA,linear,NA,NA,2,0.9706737298820963
short,NA,0.44713357735731063,overlap_form,logistic,NA,NA,logistic,NA,NA,1,1
long,NA,0.10947028643790208,overlap_slope,0,NA,NA,NA,0,NA,5,0.45204188160114744
long,NA,0.20872564871282373,overlap_slope,0.2,NA,NA,NA,0.2,NA,4,0.8619026957245364
long,NA,0.2112091152982558,overlap_slope,0.4,NA,NA,NA,0.4,NA,3,0.8721578155812759
long,NA,0.22842648929650688,overlap_slope,0.6,NA,NA,NA,0.6,NA,2,0.9432544975362925
long,NA,0.24216846025451153,overlap_slope,0.8,NA,NA,NA,0.8,NA,1,1
short,NA,0.11884560535374393,overlap_slope,0,NA,NA,NA,0,NA,5,0.5214834089137595
short,NA,0.2278991111170673,overlap_slope,0.2,NA,NA,NA,0.2,NA,1,1
short,NA,0.22157941219641994,overlap_slope,0.4,NA,NA,NA,0.4,NA,2,0.9722697517788867
short,NA,0.21740975165744822,overlap_slope,0.6,NA,NA,NA,0.6,NA,3,0.9539736710327453
short,NA,0.2142661196753207,overlap_slope,0.8,NA,NA,NA,0.8,NA,4,0.9401797077008186
long,NA,0.35822912087595077,shark_transform,log1p_z,NA,NA,NA,NA,log1p_z,1,1
long,NA,0.33681215132772047,shark_transform,z,NA,NA,NA,NA,z,2,0.9402143256922805
long,NA,0.3049587277963288,shark_transform,z_roll2,NA,NA,NA,NA,z_roll2,3,0.85129519077242
short,NA,0.2671924768989122,shark_transform,log1p_z,NA,NA,NA,NA,log1p_z,3,0.7160441213676665
short,NA,0.3596566669938326,shark_transform,z,NA,NA,NA,NA,z,2,0.9638371749854862
short,NA,0.3731508561072553,shark_transform,z_roll2,NA,NA,NA,NA,z_roll2,1,1
