variable,cor_with_selected_sst,abs_cor
bts_wgoa_temp_sum_1to5m,0.8253732372500361,0.8253732372500361
secm_temp_sum_10m,0.712200502251477,0.712200502251477
adfg_lmesh_temp_summ_bttm,0.6884189871559603,0.6884189871559603
bts_egoa_temp_sum_1to5m,0.6066828181132424,0.6066828181132424
swln_temp_spr_0to10m,0.5917239502901364,0.5917239502901364
swln_temp_spr_176to226m,0.5145098791850967,0.5145098791850967
bts_wgoa_temp_sum_195to205m,0.5141722384571725,0.5141722384571725
swln_temp_fall_176to226m,0.43183448846869926,0.43183448846869926
pdo_djf,0.3872068435687322,0.3872068435687322
enso_dj,0.33753659609804426,0.33753659609804426
bts_egoa_temp_sum_195to205m,0.2886073723757867,0.2886073723757867
ll_egoa_temp_sum_246to255m,0.2788723863271605,0.2788723863271605
swln_temp_fall_0to10m,0.2055865914245504,0.2055865914245504
ll_wgoa_temp_sum_246to255m,-0.20534364107076555,0.20534364107076555
