column,in_ak_yr,in_sem_yr,in_shark_yr,candidate_group
sst_egoa_coastwatch_junjulaug,TRUE,FALSE,FALSE,sst_or_ocean_temp
pdo_djf,TRUE,FALSE,FALSE,sst_or_ocean_temp
enso_dj,TRUE,FALSE,FALSE,sst_or_ocean_temp
akclim_goa_egoa_win_sst,TRUE,FALSE,FALSE,sst_or_ocean_temp
akclim_goa_egoa_spr_sst,TRUE,FALSE,FALSE,sst_or_ocean_temp
sst_wgoa_coastwatch_junjulaug,TRUE,FALSE,FALSE,sst_or_ocean_temp
swln_temp_fall_0to10m,TRUE,FALSE,FALSE,sst_or_ocean_temp
swln_temp_spr_0to10m,TRUE,FALSE,FALSE,sst_or_ocean_temp
swln_temp_fall_176to226m,TRUE,FALSE,FALSE,sst_or_ocean_temp
swln_temp_spr_176to226m,TRUE,FALSE,FALSE,sst_or_ocean_temp
akclim_goa_wgoa_win_sst,TRUE,FALSE,FALSE,sst_or_ocean_temp
akclim_goa_wgoa_spr_sst,TRUE,FALSE,FALSE,sst_or_ocean_temp
ssl_seak_pup_pred,TRUE,FALSE,FALSE,ssl
ssl_seak_np_pred,TRUE,FALSE,FALSE,ssl
ssl_west_pup_pred,TRUE,FALSE,FALSE,ssl
ssl_west_np_pred,TRUE,FALSE,FALSE,ssl
ssl_east_pup_pred,TRUE,FALSE,FALSE,ssl
ssl_east_np_pred,TRUE,FALSE,FALSE,ssl
ssl_cent_pup_pred,TRUE,FALSE,FALSE,ssl
ssl_cent_np_pred,TRUE,FALSE,FALSE,ssl
stka_herr_matbiom,TRUE,FALSE,FALSE,forage
crg_herr_matbiom,TRUE,FALSE,FALSE,forage
mid_il_capelin,TRUE,FALSE,FALSE,forage
pav_capelin_cpue,TRUE,FALSE,FALSE,forage
x13_ammod_wai,FALSE,TRUE,FALSE,forage
ammod_eai,FALSE,TRUE,FALSE,forage
capelin_w_go_a,FALSE,TRUE,FALSE,forage
sitka_herring_e_go_a,FALSE,TRUE,FALSE,forage
abund_herring,FALSE,TRUE,FALSE,forage
est_abund_herring_recruits,FALSE,TRUE,FALSE,forage
x07_dfa_cpue_int_spr_jun_hw,FALSE,TRUE,FALSE,salmon_response_or_covariate
x16_sar,FALSE,TRUE,FALSE,salmon_response_or_covariate
x15_salmon_shark_bsai_pred_ak,FALSE,TRUE,FALSE,shark
x15_salmon_shark_go_a_pred_ak,FALSE,TRUE,FALSE,shark
x15_shark_catch_go_a_pred_ak,FALSE,TRUE,FALSE,shark
x15_dfa_sleeper_shark_bsai_pred_ak,FALSE,TRUE,FALSE,shark
sleeper_shark_bsai_pred_ak_2026,FALSE,TRUE,FALSE,shark
sleeper_shark_go_a_pred_ak_2026,FALSE,TRUE,FALSE,shark
pacific_sleeper_shark_goa,FALSE,FALSE,TRUE,shark
salmon_shark_goa,FALSE,FALSE,TRUE,shark
other_sharks_goa,FALSE,FALSE,TRUE,shark
pacific_sleeper_shark_bsai,FALSE,FALSE,TRUE,shark
salmon_shark_bsai,FALSE,FALSE,TRUE,shark
other_sharks_bsai,FALSE,FALSE,TRUE,shark
