year,spiny_dogfish_goa,pacific_sleeper_shark_goa,salmon_shark_goa,other_sharks_goa,total_goa,spiny_dogfish_bsai,pacific_sleeper_shark_bsai,salmon_shark_bsai,other_sharks_bsai,total_bsai
1997,658,136,124,123,1041,NA,NA,NA,NA,NA
1998,864,74,71,1380,2389,NA,NA,NA,NA,NA
1999,314,558,132,33,1037,NA,NA,NA,NA,NA
2000,398,608,38,73,1117,NA,NA,NA,NA,NA
2001,494,249,33,77,853,NA,NA,NA,NA,NA
2002,117,226,58,26,427,NA,NA,NA,NA,NA
2003,357,270,35,53,715,13,342,199,34,589
2004,183,282,41,39,544,9,421,26,60,515
2005,443,482,60,69,1054,11,333,47,26,417
2006,1188,252,34,83,1557,7,313,63,305,689
2007,794,295,141,107,1337,3,257,44,28,332
2008,531,66,7,12,617,17,127,41,8,194
2009,1653,56,9,24,1741,20,51,71,10,151
2010,429,170,108,9,716,15,28,12,6,61
2011,486,26,7,5,523,8,47,47,5,107
2012,459,180,50,12,701,20,48,26,3,96
2013,2050,94,3,9,2156,24,68,25,2,119
2014,1335,93,147,6,1582,19,63,54,2,138
2015,947,60,362,21,1389,8,61,36,3,109
2016,1782,71,90,9,1951,6,81,48,1,135
2017,1609,140,13,11,1772,10,56,75,2,143
2018,3129,250,6,24,3410,10,40,51,2,103
2019,1868,92,15,14,1989,4,53,92,1,151
2020,1217,98,37,6,1358,4,68,106,2,180
2021,1763,91,45,19,1917,2,78,141,1,221
2022,1381,65,33,71,1550,1,73,48,2,123
