year,ssl_observed,ssl_weighted,salmon_resid
1999,-1.51781468869116,-3.3453989977851062e-15,-1.10409541034445
2000,-1.39137209230243,-6.870059812234229e-11,0.479520379958428
2001,-1.22527023421599,-2.58058046952748e-7,-1.01330841381007
2002,-1.00941549364566,-1.0637346302393374e-10,0.00369387965539711
2003,-0.877661273238029,-6.618583370693828e-10,-1.07785147596788
2004,-0.755154438371893,-0.7551544383714612,-0.890831783702142
2005,-0.65066128006101,-0.650661261506607,-0.871480472741775
2006,-0.582773063227711,-0.003336056273500534,0.589248686833917
2007,-0.530038441612859,-9.752803320953985e-11,0.314113990021564
2008,-0.473707349527527,-0.47364914476592385,-1.80541895339694
2009,-0.284191133871405,-0.28419111665623703,1.52597086781726
2010,-0.111811561142875,-0.11180930704869553,1.32083837206673
2011,0.0707480637693474,0.07063639965779754,0.521330503192592
2012,0.288727590354355,0.2887275903543538,0.454914764249235
2013,0.538170955497771,0.5381617983225365,0.219400907887835
2014,0.71761553575561,2.7497293768859256e-8,-0.119935728834034
2015,0.897613319436178,7.98236719401806e-9,-0.480930515572773
2016,1.04776559237506,1.5600584140463214e-8,0.00293956291230557
2017,1.17434555501324,1.8621737495210884e-11,0.217424761796049
2018,1.36239267853523,7.7421169967758e-12,-0.187032064168877
2019,1.55628562761037,0.25560870804036007,0.225902754239519
2020,1.75620613156138,1.7555515325064481,1.67558538790812
