"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_hake_sar","p_hake_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"1","x15_shark_enso_roll2","x13_egoa_herring",18,79.9039142337489,86.1365165390221,1,0,-0.591374383730005,0.000176445138827974,-0.676550662546549,4.22348651607507e-08,-0.541620262415942,0.00207966770551349,0.462728488270317,0.000112997878357612,"1 Predator + 1 Prey",-12.5684861990571,TRUE
"2","x15_shark_enso_roll2","x13_stka_herr_matbiom",18,80.5019999621646,86.7346022674378,1,0,-0.591374220749886,0.00017644619562085,-0.634447905490205,2.82487266023423e-07,-0.556324518826528,0.00184177614333625,0.448667681056742,0.000201828188309383,"1 Predator + 1 Prey",-11.9704004706414,TRUE
"3","x15_dfa_sleeper_shark_bsai_pred_ak","x13_stka_herr_matbiom",18,81.270557626847,87.5031599321201,1,0,-0.591374424753127,0.000176444780207063,-0.553733164422939,1.29692803798598e-05,-0.48291520761625,0.00334265749435669,0.418006204441529,0.000811486681335127,"1 Predator + 1 Prey",-11.201842805959,FALSE
"4","x15_pacific_cod_biomass_pred_ak","x13_hexagram_eai",18,81.4467694424222,87.6793717476954,1,0,-0.591374340014372,0.000176445333406994,-0.658503434846946,3.89435767078616e-06,-0.592347933558923,0.000328286060166105,-0.756659863664905,2.82536045537185e-06,"1 Predator + 1 Prey",-11.0256309903838,FALSE
"5","x15_dfa_sleeper_shark_bsai_pred_ak","x13_ammod_wai",18,81.8233836126576,88.0559859179308,1,0,-0.591374340483125,0.00017644529563432,-0.284173271436726,0.0439735555125065,-1.66051302774496,4.07728449558498e-06,1.98728011632589,0.000952628452583815,"1 Predator + 1 Prey",-10.6490168201484,FALSE
"6","x15_sablefish_biomass_pred_ak","x15_shark_enso_roll2",18,81.9180214201174,88.1506237253905,1,0,-0.591374332648858,0.000176445351685706,-0.775437261375947,6.33282510875688e-08,0.449781540182938,0.000730568358483952,-0.677931190371861,0.000265324019573354,"2 Predators",-10.5543790126887,TRUE
"7","x15_salmon_shark_go_a_pred_ak","x15_shark_enso_roll2",18,82.0550550096917,88.2876573149649,1,0,-0.591374339423928,0.000176445293758265,-0.523150412367504,2.93998952589636e-05,-0.438996188172128,0.000810839431296007,-0.922788333888527,8.60365557420195e-06,"2 Predators",-10.4173454231143,TRUE
"8","x15_shark_enso_roll2","x13_pollock_biomass_go_aage3plus_pred_ak",18,82.4524104914178,88.685012796691,1,0,-0.591374336484301,0.000176445326741215,-0.392573855317148,0.0035751079884474,-1.51275817998373,5.86943225044934e-06,-0.840095713080814,0.00116299897460559,"1 Predator + 1 Prey",-10.0199899413882,TRUE
"9","x15_dfa_sleeper_shark_bsai_pred_ak","x13_egoa_herring",18,82.8090440817973,89.0416463870705,1,0,-0.591374342785191,0.000176445202090703,-0.590139167785664,1.34443701442777e-05,-0.413516721001077,0.0199353565345337,0.404473293256003,0.00290226835573937,"1 Predator + 1 Prey",-9.66335635100867,FALSE
"10","x15_arrowtooth_flounder_biomass_pred_ak","x13_stka_herr_matbiom",18,83.0082983142873,89.2409006195605,1,0,-0.591374334633527,0.000176445340715592,-0.802493555970787,2.29501809778654e-07,-0.413073879511547,0.01407594311105,0.390664236277831,0.00361683720452688,"1 Predator + 1 Prey",-9.4641021185187,FALSE
"11","x15_spiny_dogfish_go_a_pred_ak","x15_shark_catch_go_a_pred_ak",18,83.1971581064992,89.4297604117723,1,0,-0.591374340417969,0.000176445299339578,-0.289259184733202,0.0784896256034904,4.53318057718707,2.73171997806632e-05,-4.24817481368289,7.60674696205221e-05,"2 Predators",-9.27524232630684,FALSE
