model_group,shark_col,importance_aicw,param,level,shark_temp_col,overlap_form,overlap_slope,shark_transform,rank,importance_rel_top1
long,goa_pacific_sleeper_shark,0.23282768819406413,shark_col,goa_pacific_sleeper_shark,NA,NA,NA,NA,2,0.6841599883658017
long,goa_pacific_sleeper_shark_2y_avg_backward,0.34031175770772715,shark_col,goa_pacific_sleeper_shark_2y_avg_backward,NA,NA,NA,NA,1,1
long,goa_pacific_sleeper_shark_2y_avg_forward,0.1267965036872205,shark_col,goa_pacific_sleeper_shark_2y_avg_forward,NA,NA,NA,NA,3,0.3725892532814521
long,goa_salmon_shark,0.07351785011580385,shark_col,goa_salmon_shark,NA,NA,NA,NA,6,0.216030884771674
long,goa_salmon_shark_2y_avg_backward,0.07452132398054413,shark_col,goa_salmon_shark_2y_avg_backward,NA,NA,NA,NA,5,0.21897957473613333
long,goa_salmon_shark_2y_avg_forward,0.06200242139847085,shark_col,goa_salmon_shark_2y_avg_forward,NA,NA,NA,NA,7,0.18219300389768173
long,goa_spiny_dogfish,0.09002245491616934,shark_col,goa_spiny_dogfish,NA,NA,NA,NA,4,0.2645293701356157
long,NA,0.06515110513479916,shark_temp_col,akclim_goa_egoa_spr_sst,akclim_goa_egoa_spr_sst,NA,NA,NA,8,0.5875037673470288
long,NA,0.06327270282035102,shark_temp_col,akclim_goa_egoa_win_sst,akclim_goa_egoa_win_sst,NA,NA,NA,12,0.5705651684691072
long,NA,0.06380127155666439,shark_temp_col,akclim_goa_wgoa_spr_sst,akclim_goa_wgoa_spr_sst,NA,NA,NA,10,0.5753315668785195
long,NA,0.07196039814596364,shark_temp_col,akclim_goa_wgoa_win_sst,akclim_goa_wgoa_win_sst,NA,NA,NA,6,0.6489069513567525
long,NA,0.06393405877546603,shark_temp_col,egoa_clim_1970_t1,egoa_clim_1970_t1,NA,NA,NA,9,0.5765289831178924
long,NA,0.06343166776977173,shark_temp_col,egoa_clim_1985_t1,egoa_clim_1985_t1,NA,NA,NA,11,0.5719986438716743
long,NA,0.11089478698834535,shark_temp_col,egoa_clim_1985_t2,egoa_clim_1985_t2,NA,NA,NA,1,1
long,NA,0.08212780587752005,shark_temp_col,enso_dj,enso_dj,NA,NA,NA,2,0.7405921243723693
long,NA,0.06961016773877068,shark_temp_col,pdo_djf,pdo_djf,NA,NA,NA,7,0.6277136160249487
long,NA,0.08003486441676853,shark_temp_col,sst_egoa_coastwatch_junjulaug,sst_egoa_coastwatch_junjulaug,NA,NA,NA,4,0.7217189066351687
long,NA,0.08196549447661466,shark_temp_col,sst_wgoa_coastwatch_junjulaug,sst_wgoa_coastwatch_junjulaug,NA,NA,NA,3,0.7391284721546826
long,NA,0.05481712902690827,shark_temp_col,wgoa_clim_1970_t1,wgoa_clim_1970_t1,NA,NA,NA,14,0.49431655459755164
long,NA,0.05573425734979771,shark_temp_col,wgoa_clim_1985_t1,wgoa_clim_1985_t1,NA,NA,NA,13,0.5025868110072224
long,NA,0.07326428992225874,shark_temp_col,wgoa_clim_1985_t2,wgoa_clim_1985_t2,NA,NA,NA,5,0.660664869034453
long,NA,0.13474393008494304,overlap_form,constant,NA,constant,NA,NA,3,0.28902628824725013
long,NA,0.39905650411751564,overlap_form,linear,NA,linear,NA,NA,2,0.8559778545371185
long,NA,0.46619956579754135,overlap_form,logistic,NA,logistic,NA,NA,1,1
long,NA,0.13474393008494304,overlap_slope,0,NA,NA,0,NA,5,0.5529808583353775
long,NA,0.24366834412778562,overlap_slope,0.2,NA,NA,0.2,NA,1,1
long,NA,0.2232845539515044,overlap_slope,0.4,NA,NA,0.4,NA,2,0.9163461702452762
long,NA,0.20547159574491333,overlap_slope,0.6,NA,NA,0.6,NA,3,0.843242877856793
long,NA,0.19283157609085358,overlap_slope,0.8,NA,NA,0.8,NA,4,0.7913690093027759
long,NA,0.32150472814942965,shark_transform,log1p_z,NA,NA,NA,log1p_z,2,0.860790138758769
long,NA,0.30499572338568093,shark_transform,z,NA,NA,NA,z,3,0.8165892693558421
long,NA,0.37349954846488936,shark_transform,z_roll2,NA,NA,NA,z_roll2,1,1
