"","ssl_var","sst_var","herring_var","capelin_var"
"1","ssl_count_eric","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"2","ssl_model_eric","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"3","ssl_west_pup_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"4","ssl_seak_pup_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"5","ssl_seak_np_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"6","ssl_west_np_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"7","ssl_east_pup_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"8","ssl_east_np_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"9","ssl_cent_pup_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"10","ssl_cent_np_pred","sst_wgoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"11","ssl_count_eric","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"12","ssl_model_eric","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"13","ssl_west_pup_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"14","ssl_seak_pup_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"15","ssl_seak_np_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"16","ssl_west_np_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"17","ssl_east_pup_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"18","ssl_east_np_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"19","ssl_cent_pup_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"20","ssl_cent_np_pred","sst_egoa_coastwatch_junjulaug","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"21","ssl_count_eric","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"22","ssl_model_eric","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"23","ssl_west_pup_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"24","ssl_seak_pup_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"25","ssl_seak_np_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"26","ssl_west_np_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"27","ssl_east_pup_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"28","ssl_east_np_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"29","ssl_cent_pup_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"30","ssl_cent_np_pred","akclim_goa_egoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"31","ssl_count_eric","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"32","ssl_model_eric","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"33","ssl_west_pup_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"34","ssl_seak_pup_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"35","ssl_seak_np_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"36","ssl_west_np_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"37","ssl_east_pup_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"38","ssl_east_np_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"39","ssl_cent_pup_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"40","ssl_cent_np_pred","akclim_goa_egoa_spr_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"41","ssl_count_eric","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"42","ssl_model_eric","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"43","ssl_west_pup_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"44","ssl_seak_pup_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"45","ssl_seak_np_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"46","ssl_west_np_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"47","ssl_east_pup_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"48","ssl_east_np_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
"49","ssl_cent_pup_pred","akclim_goa_wgoa_win_sst","egoa_bio_stka_herr_matbiom","wgoa_bio_mid_il_capelin"
