"csl_term","n","sar_r2","aic","bic","cfi","rmsea","csl_est","csl_p","delta_r2_vs_base","delta_aic_vs_base","delta_bic_vs_base"
"idxE10_csl_chinook_ratio",24,0.819847695360347,100.771710204225,111.374194677357,1,0,-0.614974006863859,6.08166545592592e-05,0.11936857514601,-10.3059998958707,-9.12794606552276
"est_risk_eul_heavy",24,0.755592347862997,107.217307490946,117.819791964077,0.966455967196095,0.120193913663439,0.343187015845194,0.00998324598839173,0.0551132276486599,-3.86040260915041,-2.68234877880246
"idxE8_mult_weekly",24,0.761569139067189,107.998583017714,118.601067490845,0.998645371906609,0.0235278612291506,-0.285233094167011,0.017389970489563,0.061090018852852,-3.07912708238246,-1.90107325203451
"idxE2_csl_only_weekly",24,0.760920908503218,108.395241853106,118.997726326238,1,0,-0.355789952738855,0.0229740850759745,0.060441788288881,-2.68246824698986,-1.50441441664191
"idxE1_csl_only_count",24,0.753648504133108,109.132538071448,119.73502254458,1,0,-0.303973759994578,0.0383833687840975,0.0531693839187716,-1.9451720286481,-0.767118198300153
"idxE7_mult_count",24,0.749083979091757,109.379084066223,119.981568539354,0.99543361235058,0.0424979933321385,-0.242272042435832,0.045531463177678,0.0486048588774202,-1.69862603387361,-0.52057220352566
"idxE11_csl_eul_ratio",24,0.759075703399402,110.274491500566,120.876975973698,0.850279701561951,0.260160521235105,-0.35252371281913,0.0846389728309993,0.0585965831850656,-0.803218599529885,0.374835230818064
"idxE9_mult_peak",24,0.73017081359335,110.677958139984,121.280442613116,0.983341360049633,0.0802531796459098,-0.187779009758938,0.112138076183118,0.0296916933790137,-0.399751960111757,0.778301870236191
"idxE3_csl_only_peak",24,0.72840147159768,110.968484944751,121.570969417882,1,0,-0.20821293981011,0.137591996581121,0.0279223513833428,-0.10922515534557,1.06882867500238
"BASE_NO_CSL",24,0.700479120214337,111.077710100096,120.50214074288,0.961606449965987,0.139509076993068,NA,NA,0,0,0
"idxE12_csl_shad_ratio",24,0.712979800783751,112.566129388731,123.168613861862,0.930799283911553,0.163714393103276,-0.127411481453305,0.472093340756969,0.0125006805694139,1.48841928863482,2.66647311898276
"idxE6_csl_peak_minus_buf",24,0.701649103998373,112.634355458957,123.236839932088,0.937535932215554,0.154828985158591,0.101831776126515,0.503536461065014,0.0011699837840361,1.55664535886058,2.73469918920853
"idxE5_csl_week_minus_buf",24,0.698920951182108,112.888235831767,123.490720304898,0.899107165341516,0.20019515910324,0.0757691523596435,0.662730110321922,-0.00155816903222894,1.81052573167048,2.98857956201843
"idxE4_csl_minus_buffer",24,0.698842745020201,112.908629860796,123.511114333928,0.904263867505326,0.194397328039475,0.0677182341120193,0.680398826200748,-0.00163637519413595,1.83091976070017,3.00897359104812
