"candidate","n","spearman","pearson","lm_slope","lm_p","sign_match","sign_match_nonzero","expected_direction","score_rank"
"idx4_csl_buffer_mult",24,-0.437391304347826,-0.282182238845644,-0.0997011678686718,0.181566697050993,0.75,0.75,"negative_correlation_with_residual",1
"idx7_with_ocean5",24,-0.312173913043478,-0.21063957985605,-0.100949907774675,0.323165138301371,0.708333333333333,0.708333333333333,"negative_correlation_with_residual",2
"idx1_csl_only",24,-0.488695652173913,-0.222243142260774,-0.135014020873977,0.296592774222171,0.666666666666667,0.666666666666667,"negative_correlation_with_residual",3
"csl_z",24,-0.488695652173913,-0.222243142260774,-0.135014020873977,0.296592774222171,0.666666666666667,0.666666666666667,"negative_correlation_with_residual",3
"idx5_csl_estuary_prey",24,-0.143478260869565,-0.0428048205685741,-0.0213952657884482,0.842578814231094,0.625,0.625,"negative_correlation_with_residual",5
"idx2_csl_oceanrisk",24,-0.109565217391304,-0.0239568776108742,-0.00992868154245014,0.911525567036049,0.625,0.625,"negative_correlation_with_residual",5
"idx3_csl_minus_buffer",24,-0.109565217391304,-0.0239568776108742,-0.00992868154245014,0.911525567036049,0.625,0.625,"negative_correlation_with_residual",5
"ocean_risk_z",24,0.141561031684922,0.187125985228295,0.11368014067238,0.381269793973111,0.541666666666667,0.541666666666667,"negative_correlation_with_residual",8
"idx6_full_quant",24,0.0347826086956522,0.0702170989668487,0.0221707352671465,0.744400699875291,0.5,0.5,"negative_correlation_with_residual",9
"ocean_buffer_z",24,-0.141561031684922,-0.187125985228295,-0.11368014067238,0.381269793973111,0.458333333333333,0.458333333333333,"negative_correlation_with_residual",10
