"model_type","terms","n","aic","bic","cfi","rmsea","sar_r2","term1","term2","term3","b1","p1","b2","p2","b3","p3","n_terms","has_ishark","has_issl","has_icsl","has_any_index","index_count","model_label","delta_aic_vs_base","delta_r2_vs_base","delta_aic_global","aic_weight"
"2var_global","x12_copepod_biomass_w_go_a + x12_copepod_com_e_go_a",24,120.346303998641,129.770734641424,1,0,0.541049149149887,"x12_copepod_biomass_w_go_a","x12_copepod_com_e_go_a",NA,-0.480408709506244,0.0010249854434512,0.152358869183804,0.279545039279907,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M1",-5.92152651748731,0.240063985186996,22.1310816713128,4.2607985956451e-06
"2var_global","x12_copepod_biomass_w_go_a + x12_copepod_com_w_go_a",24,121.487333457063,130.911764099847,0.966268394571723,0.109407093907311,0.516534084125084,"x12_copepod_biomass_w_go_a","x12_copepod_com_w_go_a",NA,-0.487391125272471,0.00112973884013856,0.0042651511897588,0.979212314895898,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M2",-4.78049705906494,0.215548920162194,23.2721111297352,2.40835002780621e-06
"2var_global","x12_copepod_biomass_w_go_a + x12_dfa_biomass_euph_shelf_sum",24,119.184289880338,128.608720523122,1,0,0.559571822320263,"x12_copepod_biomass_w_go_a","x12_dfa_biomass_euph_shelf_sum",NA,-0.437811046673243,0.00274506228030469,-0.22440173012439,0.119954716777291,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M3",-7.08354063579006,0.258586658357373,20.96906755301,7.61761756751499e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_ammod_wai",24,119.018764617415,128.443195260198,0.900077869817413,0.204626197825309,0.553665872996854,"x12_copepod_biomass_w_go_a","x13_ammod_wai",NA,-0.408456021863907,0.00659736109793152,-0.230486504280819,0.106813617526708,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M4",-7.24906589871327,0.252680709033963,20.8035422900868,8.27489553563984e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_gadid_wai",24,118.937970713184,128.362401355968,0.991663562608096,0.0563927903371002,0.561980704520297,"x12_copepod_biomass_w_go_a","x13_gadid_wai",NA,-0.52169395122565,0.000276755490306035,0.22484133722403,0.10095173462571,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M5",-7.32985980294359,0.260995540557406,20.7227483858565,8.61601989740542e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_hexagram_eai",24,121.301929124812,130.726359767596,1,0,0.51968073324398,"x12_copepod_biomass_w_go_a","x13_hexagram_eai",NA,-0.444080364423699,0.0134145405929376,-0.0751331279653983,0.665587917230869,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M6",-4.96590139131567,0.21869556928109,23.0867067974844,2.64228492148947e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_hexagram_wai",24,117.750864622307,127.17529526509,0.991565685299344,0.0579486543321544,0.571997595974142,"x12_copepod_biomass_w_go_a","x13_hexagram_wai",NA,-0.539036429345877,0.000129510125945309,0.296710289832954,0.0443333375339807,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M7",-8.51696589382138,0.271012432011251,19.5356422949787,1.55985240039164e-05
"2var_global","x12_copepod_biomass_w_go_a + x13_pollock_biomass_go_aage3plus_pred_ak",24,121.409259603438,130.833690246222,1,0,0.51733877852772,"x12_copepod_biomass_w_go_a","x13_pollock_biomass_go_aage3plus_pred_ak",NA,-0.492611234085309,0.00107216119196529,-0.0412007509048354,0.778818064673203,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M8",-4.85857091269008,0.216353614564829,23.19403727611,2.50422374450444e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_dfa_wgoa_dfa_seabirds",24,120.495890631708,129.920321274491,1,0,0.538859283298824,"x12_copepod_biomass_w_go_a","x13_dfa_wgoa_dfa_seabirds",NA,-0.408893281224351,0.0138036976719058,-0.162737538974624,0.314205833495654,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M9",-5.7719398844205,0.237874119335933,22.2806683043796,3.95374523299606e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_dfa_wgoa_dfa_mid_trophic",24,121.482444629733,130.906875272517,0.945753182569952,0.140254591135685,0.516493507900327,"x12_copepod_biomass_w_go_a","x13_dfa_wgoa_dfa_mid_trophic",NA,-0.490204987424622,0.00150536807813384,-0.012042020492364,0.940515686996612,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M10",-4.78538588639509,0.215508343937436,23.267222302405,2.41424423252684e-06
"2var_global","x12_copepod_biomass_w_go_a + x14_pink_salmon",24,121.48571575104,130.910146393823,0.99402503119989,0.045400355418529,0.516244218466103,"x12_copepod_biomass_w_go_a","x14_pink_salmon",NA,-0.492472347578989,0.00739358767352627,-0.00864669625035314,0.961776521067415,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M11",-4.78211476508852,0.215259054503212,23.2704934237116,2.41029881701541e-06
"2var_global","x12_copepod_biomass_w_go_a + x14_pink_salmon_north_america",24,119.619975186019,129.044405828803,1,0,0.560123737759764,"x12_copepod_biomass_w_go_a","x14_pink_salmon_north_america",NA,-0.44104643348758,0.00283580744962575,-0.195944393598024,0.163380018348469,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M12",-6.64785533010885,0.259138573796874,21.4047528586912,6.12648399994326e-06
"2var_global","x12_copepod_biomass_w_go_a + x14_pink_salmon_asia",24,121.195255400023,130.619686042807,0.961090908609624,0.118514946546284,0.526072590844175,"x12_copepod_biomass_w_go_a","x14_pink_salmon_asia",NA,-0.432987198646305,0.0157737225587471,0.0949930098787987,0.587319540600189,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M13",-5.07257511610456,0.225087426881284,22.9800330726955,2.78704224368017e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_wgoa_cap_pcod",24,121.17805271732,130.602483360104,1,0,0.522299429451654,"x12_copepod_biomass_w_go_a","x13_wgoa_cap_pcod",NA,-0.418705114468481,0.0299939596890244,0.111722185188129,0.576473899137944,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M14",-5.08977779880783,0.221314265488764,22.9628303899923,2.81111793858191e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_egoa_herring",24,120.564657058221,129.989087701004,0.846523479091358,0.25394807962677,0.533503096837758,"x12_copepod_biomass_w_go_a","x13_egoa_herring",NA,-0.4061599790032,0.0162510976202861,0.158506068445006,0.331931536436761,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M15",-5.70317345790752,0.232517932874868,22.3494347308926,3.82011328022786e-06
"2var_global","x12_copepod_biomass_w_go_a + x21_sst_wgoa_coastwatch_junjulaug",24,115.537481009382,124.961911652166,1,0,0.617593323665912,"x12_copepod_biomass_w_go_a","x21_sst_wgoa_coastwatch_junjulaug",NA,-0.327570430476672,0.0246862285326865,-0.427913056843814,0.00935819857013165,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M16",-10.730349506746,0.316608159703022,17.3222586820541,4.71751891652107e-05
"2var_global","x12_copepod_biomass_w_go_a + x21_pdo_djf",24,119.612931260462,129.037361903246,1,0,0.549222838901627,"x12_copepod_biomass_w_go_a","x21_pdo_djf",NA,-0.356141403617291,0.0382839961257821,-0.246037404487485,0.162557209551536,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M17",-6.65489925566564,0.248237674938736,21.3977089331345,6.14809929033418e-06
"2var_global","x12_copepod_biomass_w_go_a + x21_enso_dj",24,120.398542796397,129.822973439181,0.9961146939092,0.0373684697347465,0.548537514550309,"x12_copepod_biomass_w_go_a","x21_enso_dj",NA,-0.550035469626337,0.000495447619526468,0.169909674187276,0.291089376345672,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M18",-5.86928771973098,0.247552350587418,22.1833204690691,4.15094993313803e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_mid_il_capelin",24,121.328302836444,130.752733479227,1,0,0.516651880359058,"x12_copepod_biomass_w_go_a","x13_mid_il_capelin",NA,-0.437265730167802,0.0247253084037387,0.0831672199849628,0.688933692380505,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M19",-4.93952767968423,0.215666716396167,23.1130805091159,2.60767022233271e-06
"2var_global","x12_copepod_biomass_w_go_a + x13_stka_herr_matbiom",24,120.684430935596,130.10886157838,0.899822981404001,0.198532244676236,0.532856099461361,"x12_copepod_biomass_w_go_a","x13_stka_herr_matbiom",NA,-0.406947144668539,0.0179737801714996,0.15005841143798,0.366004245551736,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M20",-5.58339958053196,0.23187093549847,22.4692086082681,3.59805397930127e-06
"2var_global","x12_copepod_biomass_w_go_a + x10_californian_s_l_2yr_lead_ws",24,121.487183647634,130.911614290417,1,0,0.516512082334381,"x12_copepod_biomass_w_go_a","x10_californian_s_l_2yr_lead_ws",NA,-0.484921071390316,0.00479209015648885,0.00470414599647747,0.977033620809212,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M21",-4.78064686849413,0.21552691837149,23.271961320306,2.40853043133414e-06
"2var_global","x12_copepod_biomass_w_go_a + x10_harbour_s_2yr_lead_ws",24,118.09106594143,127.515496584213,0.963597227310598,0.121390310710981,0.570952939319458,"x12_copepod_biomass_w_go_a","x10_harbour_s_2yr_lead_ws",NA,-0.37904425990779,0.0118071686020089,-0.276682609375891,0.056099436680604,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M22",-8.17676457469835,0.269967775356567,19.8758436141017,1.31586012872367e-05
"2var_global","x12_copepod_biomass_w_go_a + x10_northern_f_s_2yr_lead_ws",24,120.46814808759,129.892578730373,1,0,0.536980949820861,"x12_copepod_biomass_w_go_a","x10_northern_f_s_2yr_lead_ws",NA,-0.444599761965081,0.00353189099540319,0.151090194449556,0.307393049492784,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M23",-5.79968242853849,0.235995785857971,22.2529257602616,4.00897084803636e-06
"2var_global","x12_copepod_biomass_w_go_a + x10_dfa_ssl_est_wholerange_2yr_lead",24,121.417465338869,130.841895981653,1,0,0.517509000654625,"x12_copepod_biomass_w_go_a","x10_dfa_ssl_est_wholerange_2yr_lead",NA,-0.506835912590239,0.00232920675493675,-0.0433351592429984,0.790391513544942,NA,NA,2,FALSE,FALSE,FALSE,FALSE,0,"M24",-4.85036517725902,0.216523836691735,23.2022430115411,2.4939702944088e-06
