"variable","importance","n_models","in_any_index_model_weight","var_group"
"x15_icsl_cslchin_ratio",0.726352248659516,741,0.726352248659516,"Index"
"x15_arrowtooth_flounder_biomass_pred_ak",0.380882405496338,741,0.359602485590629,"Predator"
"x15_dfa_sleeper_shark_bsai_pred_ak",0.33497000376358,741,0.321618314454716,"Predator"
"x13_wgoa_cap_pcod",0.284447409502826,741,0.280263448857968,"Prey"
"x15_issl_z",0.182760404182523,741,0.182760404182523,"Index"
"x21_sst_wgoa_coastwatch_junjulaug",0.173527834400158,741,0.096665956696267,"Climate"
"x15_ishark_df_asleeper_z",0.119115108493776,741,0.119115108493776,"Index"
"x21_pdo_djf",0.0758539923751575,741,0.069080884652691,"Climate"
"x12_dfa_biomass_euph_shelf_sum",0.072803169203543,741,0.0264715241334916,"Prey"
"x13_dfa_wgoa_dfa_seabirds",0.0656232082442443,741,0.0591533234108485,"Prey"
"x13_egoa_herring",0.0506026648770917,741,0.02175963536326,"Prey"
"x13_stka_herr_matbiom",0.0496990284496531,741,0.0140485372635908,"Prey"
"x10_californian_s_l_2yr_lead_ws",0.0439578739004041,741,0.0411635779976922,"Predator"
"x13_mid_il_capelin",0.0432157118681827,741,0.0409393095425194,"Prey"
"x12_copepod_com_e_go_a",0.0419895386135311,741,0.0396962357151942,"Prey"
"x13_ammod_wai",0.0348983143952167,741,0.0180227255520622,"Prey"
"x13_hexagram_wai",0.0284468266928691,741,0.00473623344780655,"Prey"
"x13_hexagram_eai",0.0239324783341228,741,0.00418015104578556,"Prey"
"x10_harbour_s_2yr_lead_ws",0.0224834837746956,741,0.00668513496352432,"Predator"
"x15_pacific_cod_biomass_pred_ak",0.0221847712400558,741,0.00290359338054638,"Predator"
"x10_dfa_ssl_est_wholerange_2yr_lead",0.0175546469986393,741,0.0151759244686838,"Predator"
"x14_pink_salmon",0.0172092681728337,740,0.0159092742532969,"Competitor"
"x21_enso_dj",0.0161574090156781,741,0.00667413273193748,"Climate"
"x12_copepod_biomass_w_go_a",0.0155297918847174,741,0.0113223137502199,"Prey"
"x15_sablefish_biomass_pred_ak",0.0152796782457483,741,0.00918292951060436,"Predator"
"x15_ishark_z",0.0131107606476524,741,0.0131107606476524,"Index"
"x15_halibut_biomass_age8plus_2yr_lead_pred_ak",0.0128768889751594,741,0.00473742129043111,"Predator"
"x14_pink_salmon_asia",0.0128432427851935,740,0.0110585445603318,"Competitor"
"x15_icsl_risk_eulachon75_shad25",0.0117564102002091,741,0.0117564102002091,"Index"
"x15_salmon_shark_go_a_pred_ak",0.0114041856203722,741,0.00977801473698089,"Predator"
"x13_gadid_wai",0.0112464061812988,741,0.00895546851195975,"Prey"
"x13_pollock_biomass_go_aage3plus_pred_ak",0.0112052056079584,741,0.00828522555730346,"Prey"
"x15_shark_catch_go_a_pred_ak",0.009513995140346,741,0.00407671594174036,"Predator"
"x13_dfa_wgoa_dfa_mid_trophic",0.00873472361404458,741,0.00575373673151281,"Prey"
"x15_spiny_dogfish_go_a_pred_ak",0.00865091765903812,741,0.00624297812950945,"Predator"
"x15_sablefish_recruitment_pred_ak",0.00625044444551079,741,0.00473298769931819,"Predator"
"x14_pink_salmon_north_america",0.0057354164228883,740,0.00287965049642154,"Competitor"
"x12_copepod_com_w_go_a",0.00503620521223155,741,0.00327773827120584,"Prey"
"x10_northern_f_s_2yr_lead_ws",0.00481789193272331,741,0.00336168007296742,"Predator"
