variable,var_group,exp_sign,importance,prop_sign_met_aic_wtd
x15_ishark,Index,Negative,0.6277,1
x15_issl,Index,Negative,0.542,1
x13_stka_herr_matbiom.x,Prey,Positive,0.0844,0.98
x13_stka_herr_matbiom.y,Prey,Positive,0.0844,0.98
x13_egoa_herring,Prey,Positive,0.083,0.979
x13_ammod_wai,Prey,Positive,0.0828,0
x21_sst_wgoa_coastwatch_junjulaug,Climate,Negative,0.068,0.986
x15_dfa_sleeper_shark_bsai_pred_ak,Predator,Negative,0.0563,1
x15_icsl_cslchin_ratio,Index,Negative,0.0481,0.999
x10_harbour_s_2yr_lead_ws,Predator,Negative,0.0474,1
x13_dfa_wgoa_dfa_seabirds,Prey,Positive,0.0338,0
x14_pink_salmon_north_america,Competitor,Negative,0.0148,1
x15_sablefish_biomass_pred_ak,Predator,Negative,0.0125,0.217
x21_pdo_djf,Climate,Negative,0.0089,1
x12_dfa_biomass_euph_shelf_sum,Prey,Positive,0.0087,0
x10_northern_f_s_2yr_lead_ws,Predator,Negative,0.0083,0.112
x12_copepod_biomass_w_go_a,Prey,Positive,0.0072,0
x13_wgoa_cap_pcod,Prey,Positive,0.0065,1
x14_pink_salmon_asia,Competitor,Negative,0.0065,0
x15_spiny_dogfish_go_a_pred_ak,Predator,Negative,0.0065,0.005
x13_pollock_biomass_go_aage3plus_pred_ak,Prey,Positive,0.0057,0.773
x15_arrowtooth_flounder_biomass_pred_ak,Predator,Negative,0.0057,0.996
x13_hexagram_wai,Prey,Positive,0.0056,1
x10_californian_s_l_2yr_lead_ws,Predator,Negative,0.0053,0.001
x13_gadid_wai,Prey,Positive,0.005,0.996
x13_dfa_wgoa_dfa_mid_trophic,Prey,Positive,0.0048,0.661
x10_dfa_ssl_est_wholerange_2yr_lead,Predator,Negative,0.0046,0.022
x21_enso_dj,Climate,Negative,0.0045,0.012
x12_copepod_com_e_go_a,Prey,Positive,0.0041,0.579
x13_hexagram_eai,Prey,Positive,0.0041,0.385
x13_mid_il_capelin.x,Prey,Positive,0.0041,1
x13_mid_il_capelin.y,Prey,Positive,0.0041,1
x15_sablefish_recruitment_pred_ak,Predator,Negative,0.0039,0.417
x15_salmon_shark_go_a_pred_ak,Predator,Negative,0.0038,0.43
x14_pink_salmon,Competitor,Negative,0.0037,0.012
x15_halibut_biomass_age8plus_2yr_lead_pred_ak,Predator,Negative,0.0037,0.967
x15_pacific_cod_biomass_pred_ak,Predator,Negative,0.0036,0.518
x12_copepod_com_w_go_a,Prey,Positive,0.0032,0.405
