"variable","importance","n_models","in_any_index_model_weight","var_group"
"x15_icsl_cslchin_ratio",0.817089284121536,595,0.817089284121536,"Index"
"x15_arrowtooth_flounder_biomass_pred_ak",0.519093593110141,595,0.49000022799984,"Predator"
"x13_wgoa_cap_pcod",0.381371129795351,595,0.375967537583973,"Prey"
"x15_dfa_sleeper_shark_bsai_pred_ak",0.301092471662878,595,0.282914203271433,"Predator"
"x21_sst_wgoa_coastwatch_junjulaug",0.136408649920431,595,0.0358595341032019,"Climate"
"x21_pdo_djf",0.083271032318118,595,0.0743096894947259,"Climate"
"x12_dfa_biomass_euph_shelf_sum",0.0660262558989712,595,0.00439847791247155,"Prey"
"x13_dfa_wgoa_dfa_seabirds",0.0592216862510439,595,0.0504479351688663,"Prey"
"x10_californian_s_l_2yr_lead_ws",0.0582302851497285,595,0.0544456679830879,"Predator"
"x13_egoa_herring",0.0563045125914102,595,0.0177619206757453,"Prey"
"x12_copepod_com_e_go_a",0.0560732119605427,595,0.0530100445580755,"Prey"
"x13_mid_il_capelin",0.0550550639586227,595,0.0520389169819188,"Prey"
"x13_stka_herr_matbiom",0.0526785812825394,595,0.00643200620740858,"Prey"
"x13_hexagram_wai",0.0376333403431711,595,0.00518672663881928,"Prey"
"x13_ammod_wai",0.0343373251843351,595,0.0113449181976219,"Prey"
"x15_pacific_cod_biomass_pred_ak",0.0284175482269148,595,0.0020432402878986,"Predator"
"x13_hexagram_eai",0.0283570628763814,595,0.00324544322196379,"Prey"
"x10_harbour_s_2yr_lead_ws",0.0275860403980685,595,0.00615192607907325,"Predator"
"x10_dfa_ssl_est_wholerange_2yr_lead",0.0208530279276664,595,0.0176436370228758,"Predator"
"x14_pink_salmon",0.0208422226979558,594,0.0190932432801512,"Competitor"
"x21_enso_dj",0.020379103121621,595,0.00745229082657472,"Climate"
"x15_sablefish_biomass_pred_ak",0.0170348729099523,595,0.00876415116467169,"Predator"
"x14_pink_salmon_asia",0.0149979012762796,594,0.0125938013553918,"Competitor"
"x12_copepod_biomass_w_go_a",0.0135270252801801,595,0.00812620726726782,"Prey"
"x15_halibut_biomass_age8plus_2yr_lead_pred_ak",0.0133878990352817,595,0.00227650934549201,"Predator"
"x13_gadid_wai",0.0109897899094641,595,0.00790510028755226,"Prey"
"x15_icsl_risk_eulachon75_shad25",0.00943278428333287,595,0.00943278428333287,"Index"
"x13_pollock_biomass_go_aage3plus_pred_ak",0.00896023793586774,595,0.00500403987120124,"Prey"
"x13_dfa_wgoa_dfa_mid_trophic",0.00848836941701074,595,0.00446295151403656,"Prey"
"x15_spiny_dogfish_go_a_pred_ak",0.00831739567210481,595,0.00506102862627944,"Predator"
"x15_salmon_shark_go_a_pred_ak",0.00618476828604589,595,0.00398970885774735,"Predator"
"x14_pink_salmon_north_america",0.00594239644440266,594,0.00208499075322176,"Competitor"
"x15_sablefish_recruitment_pred_ak",0.00568069319506359,595,0.00363545001038409,"Predator"
"x12_copepod_com_w_go_a",0.00458444396510199,595,0.00226155402921791,"Prey"
"x10_northern_f_s_2yr_lead_ws",0.00387472545275942,595,0.00191438868588334,"Predator"
