"Year","X13.FishPreyAK_DFA1","X13.FishPreyAK_b_DFA1","X14.CompAK_1_smoothed","X12_egoa.krill","X13_mid_il_capelin","X13_stka_herr_matbiom"
1996,-1.81880323520659,-1.51216461826948,0.0062025232417604,NA,0.16,40038
1997,-2.04555761108978,-0.758465459276185,-0.218518910028754,49.21,0.08,47044
1998,-2.28390906111788,-0.102018122859783,-0.0246144007509889,26.31,0.02,56011
1999,-2.73807739537508,0.74738334263447,0.331958965041274,26.62,0.01,59323
2000,-2.83249229530684,1.19583909209925,-0.0824225634462861,310.96,0.1,54638
2001,-2.38441130377275,2.69627569084257,0.1573925433549,28.87,0.05,66801
2002,-1.67950134262522,2.84722350522985,0.112374155687048,101.71,0.08,68743
2003,-1.39986395138178,1.95939333227871,0.375921331373938,27.94,0.03,90819
2004,-1.45331735136875,0.997959927580217,0.28364891253904,65.8,0.06,114705
2005,-1.81314873685599,0.504766215641806,0.530171099209236,17.42,0.02,97274
2006,-2.80712892649816,-0.260649147385516,-0.162768332456691,42.97,0.05,83580
2007,-3.32057427709526,-0.910938024623735,-0.00421954364210192,274.12,0.09,82357
2008,-2.84191640590562,-1.34136661113762,-0.385651915516748,100.91,0.48,100282
2009,-2.13909245964367,-1.86288672280312,-0.215683620123409,162.23,0.48,117514
2010,-1.44809452872689,-2.04809699958464,-0.210707327088528,324.03,0.22,114424
2011,-1.06679225943035,-2.67609107595151,0.0306659495210685,44.24,0.38,107765
2012,-1.62584142582941,-3.06514206047058,-0.017776140008685,34.29,0.55,76615
2013,-1.69086343400398,-2.10453903613985,0.980741702335935,35.37,0.56,74131
2014,-0.406683769075302,-0.785531091717658,0.370910962260215,46.83,0.08,71726
2015,1.37459061179055,-0.178931153796248,0.540493510031716,64.75,0.06,64322
2016,2.36446821382076,-0.218418374829523,-0.366047631346873,14.43,0.01,74183
2017,3.07204164646907,-0.197495768667877,-0.201242707030208,45.68,0.01,62819
2018,3.9671920598621,0.923190252977824,-0.718508512643927,41.83,0.04,55926
2019,4.98601315153685,0.876477778971012,-0.369904652222999,120.04,0.06,151775
2020,5.5998068051524,1.37064611995597,-0.532039059907608,43.48,0.03,265316
2021,5.28873294654519,1.60223369072452,-0.00261444011070999,146.13,0.05,245302
2022,4.64226190216444,1.18041730410684,-0.301080765543442,66.41,0.0429,225820
2023,4.00268407999911,0.551119944923769,0.205679583907083,NA,NA,NA
