"Year","eulachon_during_chinook","eulachon_lbs_interp","eulachon_weekly_scaled","eulachon_annual_scaled"
1998,161162.937694586,3821267.15321541,0.388445645033409,-0.31467075970547
1999,166092.830043825,3996221.92609057,0.394543843033335,-0.270463587763556
2000,279253.788152383,4197022.2904132,0.499700482378452,-0.222051114002803
2001,2043469.46015214,9805515.63451354,0.902515297025659,0.615901173660343
2002,3531401.01685939,17919043.2265991,1.01323236221466,1.21127635582669
2003,8295186.85450449,25120022.6283473,1.18607035188473,1.54485098883519
2004,1178616.65549298,8185195.86299926,0.791138052746029,0.437543182981687
2005,44592.3719210762,3584680.58535013,0.128406227445678,-0.377783775507018
2006,12157.1462582829,3841148.37740577,-0.134618246953801,-0.309546394266235
2007,105591.287744799,3745917.31353395,0.302867290421311,-0.334337123135081
2008,148792.945033776,3924649.51900527,0.372282767724265,-0.288309805142445
2009,100703.96184631,3931488.66012676,0.293275927489561,-0.286590494860416
2010,0,3797363.08358651,-2.03825835510001,-0.320867425441613
2011,70237.9474387415,3663237.50704625,0.220356047101123,-0.356377067910393
2012,2356.83404127811,3065831.62096066,-0.466591300740671,-0.532177978460562
2013,146334.423982109,9630565.14992204,0.368910727534229,0.598123294539316
2014,1620949.45033011,16540222.2872153,0.855634074297925,1.13220929879471
2015,33025.9126695892,11017212.9705899,0.0676358052250963,0.730957156337325
2016,109.055738391668,4766061.89791615,-1.08682090075425,-0.0964969143286365
2017,0,1518022.34620671,-2.03825835510001,-1.22629327487559
2018,0,330916.097162911,-2.03825835510001,-2.73053020016725
2019,2269.39472571219,4449525.66217801,-0.474239598812672,-0.164359905306275
2020,0,251816.334426283,-2.03825835510001,-3.00027628616638
2021,81831.185864875,7460912.0196387,0.251274849242496,0.346052949028643
2022,943052.235916966,18241131.9441846,0.746009956237802,1.22886847903806
2023,6221179.41676434,17346893.6389241,1.12783924213367,1.17923181469905
2024,175041.516534968,9722872.9354228,0.405164518492018,0.607543172204578
1993,NA,13797665.4519377,NA,0.953181966860798
1994,NA,4443549.47037365,NA,-0.16568709910384
1995,NA,12328442.9842701,NA,0.842000332338294
1996,NA,3761623.48064433,NA,-0.330205365477581
1997,NA,4745744.07806711,NA,-0.100715593523563
