"ncc_predator","ak_predator","model_type","active_ncc_ints","active_ak_ints","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
"x08_dfa_dc_corm_3_ws","x10_dfa_ssl.est.wholerange_2yrlead","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",131.184890267973,145.368442161631,0.380393393771673,0.00154213906774803,0.147054082376631,0.467714242065886
"x08_dfa_dc_corm_3_ws","x10_dfa_ssl.est.wholerange_2yrlead","Pruned","None","ak_int_2",123.376118844723,132.104458471589,1,0.721746643656407,0.0714846315342784,0.474752492588451
"x08_dfa_dc_corm_3_ws","x10_californian_s_l_2yrlead_ws","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2",132.977677561929,146.070187002229,0.50703990975776,0.0438252182699448,0.14705408237663,0.430884687656797
"x08_dfa_dc_corm_3_ws","x10_californian_s_l_2yrlead_ws","Pruned","None","None",136.32411987225,144.570496684686,1,0.435512716809518,0.0553717180244327,0.346891044163282
"x08_dfa_dc_corm_3_ws","x10_harbour_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2",121.884449501641,134.976958941941,0.617694858587006,0.00952017733483512,0.147054082376631,0.577637520893283
"x08_dfa_dc_corm_3_ws","x10_harbour_s_2yrlead_ws","Pruned","None","ak_int_1",117.421563724491,126.149903351358,1,0.588339642274617,0.0714846315342784,0.574117191768253
"x08_dfa_dc_corm_3_ws","x10_northern_f_s_2yrlead_ws","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2",130.289889855771,143.382399296071,0.348533879704224,0.00043868793812063,0.147054082376631,0.432860488927765
"x08_dfa_dc_corm_3_ws","x10_northern_f_s_2yrlead_ws","Pruned","None","None",135.60644948453,143.852826296965,0.893545733670505,0.208045625634995,0.0553717180244327,0.32513874420441
"x08_dfa_dc_corm_3_ws","x15_arrowtoothflounderbiomass_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",137.581355513903,152.896055308426,0.597103055657079,0.0283620468726257,0.102764372980332,0.500597571741994
"x08_dfa_dc_corm_3_ws","x15_arrowtoothflounderbiomass_predak","Pruned","None","ak_int_1, ak_int_2, ak_int_3",132.8167071954,144.597245498879,0.771727361277916,0.0892704974735044,0.0553717180244327,0.519144573979413
"x08_dfa_dc_corm_3_ws","x15_sablefishbiomass_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",126.413169938831,141.727869733354,0.710899744186889,0.0207081805345486,0.102764372980332,0.673023306065694
"x08_dfa_dc_corm_3_ws","x15_sablefishbiomass_predak","Pruned","None","ak_int_1",123.923740359012,133.348171001796,0.80019289654401,0.0358126741264195,0.0553717180244327,0.596070072967126
"x08_dfa_dc_corm_3_ws","x15_sablefishrecruitment_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",138.141786021366,153.456485815889,0.536910531796512,0.0136203486904768,0.102764372980332,0.534926774826371
"x08_dfa_dc_corm_3_ws","x15_sablefishrecruitment_predak","Pruned","None","ak_int_2, ak_int_3",133.06709233367,143.669576806802,1,0.557679737138209,0.0553717180244327,0.542894854744813
"x08_dfa_dc_corm_3_ws","x15_pacificcodbiomass_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",139.121523093896,154.436222888419,0.783425657535985,0.183577670173588,0.102764372980332,0.525747640728206
"x08_dfa_dc_corm_3_ws","x15_pacificcodbiomass_predak","Pruned","None","ak_int_1, ak_int_2",132.480449654409,143.082934127541,1,0.664571343198458,0.0553717180244327,0.545165249632733
"x08_dfa_dc_corm_3_ws","x15_spinydogfishgoa_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",139.681093559558,154.995793354082,0.543203901506058,0.0238767567615166,0.102764372980332,0.563243857745527
"x08_dfa_dc_corm_3_ws","x15_spinydogfishgoa_predak","Pruned","None","ak_int_1, ak_int_2",132.925036212425,143.527520685556,1,0.794428769312481,0.0553717180244327,0.570500004974885
"x08_dfa_dc_corm_3_ws","x15_halibutbiomassage8plus_2yrlead_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2",135.256424015847,149.393069980022,0.595614478155324,0.0165833139858449,0.102764372980332,0.544517503029394
"x08_dfa_dc_corm_3_ws","x15_halibutbiomassage8plus_2yrlead_predak","Pruned","None","ak_int_1, ak_int_2",130.491775697343,141.094260170475,0.731176246085816,0.0382326730976915,0.0553717180244327,0.57984847150891
"x08_dfa_dc_corm_3_ws","x15_dfa_sleepersharks","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2",123.649918616479,137.786564580654,0.769690091440066,0.0368152749088618,0.102764372980332,0.693722164816893
"x08_dfa_dc_corm_3_ws","x15_dfa_sleepersharks","Pruned","None","ak_int_1, ak_int_2",118.885270297975,129.487754771107,0.869120372053352,0.0825002917315381,0.0553717180244327,0.71861129582987
"x08_dfa_dc_corm_3_ws","x15_salmonsharkgoa_predak","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2",145.926736776695,160.063382740871,0.307902130780864,0.0205421609846838,0.102764372980332,0.329519741378424
"x08_dfa_dc_corm_3_ws","x15_salmonsharkgoa_predak","Pruned","None","None",137.435870012943,145.682246825378,1,0.854503583941498,0.0553717180244327,0.321862270518679
"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","Full","ncc_int_1, ncc_int_2, ncc_int_3","ak_int_1, ak_int_2, ak_int_3",127.212790480854,142.527490275377,0.780158960329297,0.0641429365413857,0.102764372980332,0.681571910287791
"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","Pruned","None","ak_int_1, ak_int_2",120.626640769321,131.229125242453,0.9300900986071,0.199483381993389,0.0553717180244327,0.700462963915096
"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",130.379762022042,143.472271462342,0.704199423049645,0.125759873268842,0.0994474716082108,0.517415159334319
"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","Pruned","None","ak_int_2",124.454071506962,133.182411133829,0.978827732779482,0.352760721833455,0.0248563622972123,0.493393037542341
