"ncc_predator","ak_predator","model_type","active_ncc_terms","active_ak_terms","aic","bic","cfi","pvalue","sar_r2"
"x08_dfa_dc_corm_3_ws","x10_dfa_ssl.est.wholerange_2yrlead","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2, ak_int_3",120.711762321603,134.895314215261,0.426964748525155,1.69750045811989e-05,0.634503325303506
"x08_dfa_dc_corm_3_ws","x10_dfa_ssl.est.wholerange_2yrlead","Fully_Pruned","None","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2",118.452332216351,127.180671843218,1,0.526513869851547,0.585837801846992
"x08_dfa_dc_corm_3_ws","x10_californian_s_l_2yrlead_ws","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x10_californian_s_l_2yrlead_ws, ak_int_1, ak_int_2",122.10864976853,135.201159208829,0.68427842264116,0.0295866808567438,0.569543306356063
"x08_dfa_dc_corm_3_ws","x10_californian_s_l_2yrlead_ws","Fully_Pruned","None","x10_californian_s_l_2yrlead_ws, ak_int_1",120.392935998994,128.030233172502,0.943849331811938,0.23378293664461,0.495006557944649
"x08_dfa_dc_corm_3_ws","x10_harbour_s_2yrlead_ws","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x10_harbour_s_2yrlead_ws, ak_int_1, ak_int_2",124.594852933983,137.687362374283,0.488415887050386,0.00123519272071138,0.505728082490338
"x08_dfa_dc_corm_3_ws","x10_harbour_s_2yrlead_ws","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x10_harbour_s_2yrlead_ws",130.41896698898,141.021451462111,0.628869464462868,0.00765855253041525,0.423306996893931
"x08_dfa_dc_corm_3_ws","x10_northern_f_s_2yrlead_ws","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",122.727546782967,135.820056223267,0.672003076743479,0.0276002048304488,0.55126788675536
"x08_dfa_dc_corm_3_ws","x10_northern_f_s_2yrlead_ws","Fully_Pruned","None","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",121.431743436013,130.16008306288,1,0.501202891891965,0.533922140242644
"x08_dfa_dc_corm_3_ws","x15_arrowtoothflounderbiomass_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_arrowtoothflounderbiomass_predak, ak_int_1, ak_int_2, ak_int_3",126.504035487192,141.818735281715,0.565014382501803,0.000708807151821311,0.63818066444133
"x08_dfa_dc_corm_3_ws","x15_arrowtoothflounderbiomass_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","ak_int_1, ak_int_2",122.065974672755,133.846512976234,1,0.639609807015183,0.644823099248023
"x08_dfa_dc_corm_3_ws","x15_sablefishbiomass_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_sablefishbiomass_predak, ak_int_1, ak_int_2, ak_int_3",131.194455135992,146.509154930515,0.770594110671433,0.0831234907019237,0.590883686784851
"x08_dfa_dc_corm_3_ws","x15_sablefishbiomass_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x15_sablefishbiomass_predak, ak_int_2, ak_int_3",128.936255627469,141.894847761297,0.718448105975774,0.0304115327392431,0.597110283816762
"x08_dfa_dc_corm_3_ws","x15_sablefishrecruitment_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_sablefishrecruitment_predak, ak_int_1, ak_int_2, ak_int_3",134.370296430867,149.68499622539,0.687114637418609,0.0476356179193155,0.53667817606683
"x08_dfa_dc_corm_3_ws","x15_sablefishrecruitment_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x15_sablefishrecruitment_predak, ak_int_2, ak_int_3",131.82440825848,144.783000392307,0.691948897287467,0.0328700159124978,0.564481227130731
"x08_dfa_dc_corm_3_ws","x15_pacificcodbiomass_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_pacificcodbiomass_predak, ak_int_1, ak_int_2, ak_int_3",134.424234296798,149.738934091322,0.606814623473131,0.0156613389419022,0.488602329938496
"x08_dfa_dc_corm_3_ws","x15_pacificcodbiomass_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","ak_int_2",132.657826054916,143.260310528048,0.697269908497994,0.0356223118431255,0.403672060154837
"x08_dfa_dc_corm_3_ws","x15_spinydogfishgoa_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",127.802205446261,143.116905240784,0.567847222367822,0.001141819375302,0.619086619928306
"x08_dfa_dc_corm_3_ws","x15_spinydogfishgoa_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",127.239423691116,141.376069655292,0.692593747684175,0.0162715869885681,0.635259111584395
"x08_dfa_dc_corm_3_ws","x15_halibutbiomassage8plus_2yrlead_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_halibutbiomassage8plus_2yrlead_predak, ak_int_1, ak_int_2",137.080518786749,151.217164750924,0.474940026917087,0.00312523183951596,0.394206385543651
"x08_dfa_dc_corm_3_ws","x15_halibutbiomassage8plus_2yrlead_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","None",135.067059412945,144.491490055728,0.631876718443833,0.0236366834257046,0.295119152355355
"x08_dfa_dc_corm_3_ws","x15_dfa_sleepersharks","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_dfa_sleepersharks, ak_int_1, ak_int_2",129.789475469467,143.926121433643,0.638270165045017,0.00970796962687659,0.54832089266989
"x08_dfa_dc_corm_3_ws","x15_dfa_sleepersharks","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","ak_int_1",129.218990807185,139.821475280317,0.701324508836571,0.0201779391186483,0.462919248278554
"x08_dfa_dc_corm_3_ws","x15_salmonsharkgoa_predak","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x15_salmonsharkgoa_predak, ak_int_1, ak_int_2",137.312121383794,151.448767347969,0.775940692576505,0.151574244077543,0.41323550327579
"x08_dfa_dc_corm_3_ws","x15_salmonsharkgoa_predak","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","None",135.067059412945,144.491490055728,0.631876718443833,0.0236366834257046,0.295119152355355
"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","Full","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_2, ncc_int_3","x11_ssl_seak_pup_pred, ak_int_1, ak_int_2, ak_int_3",126.810004380746,142.124704175269,0.672263439329859,0.0108062377784246,0.636029439816814
"x08_dfa_dc_corm_3_ws","x11_ssl_seak_pup_pred","Fully_Pruned","x08_dfa_dc_corm_3_ws, ncc_int_1, ncc_int_3","x11_ssl_seak_pup_pred, ak_int_1, ak_int_2, ak_int_3",126.247222625607,140.383868589782,0.662003029358653,0.00753447645697791,0.647212260368206
"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2, ak_int_3",115.248931018348,128.341440458648,0.69210941828629,0.0107162040577945,0.649329098279624
"x08_large_gulls_7_ws","x10_dfa_ssl.est.wholerange_2yrlead","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2",112.617322073689,123.527746607272,0.900762580847935,0.16375970670704,0.6361321029546
"x08_large_gulls_7_ws","x10_californian_s_l_2yrlead_ws","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x10_californian_s_l_2yrlead_ws, ak_int_1, ak_int_2",116.64581846527,128.647285452211,1,0.533749900582562,0.601568192989449
"x08_large_gulls_7_ws","x10_californian_s_l_2yrlead_ws","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x10_californian_s_l_2yrlead_ws, ak_int_1",114.557925856355,124.37730793658,0.94190396830385,0.246551103023136,0.565323702189608
"x08_large_gulls_7_ws","x10_harbour_s_2yrlead_ws","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x10_harbour_s_2yrlead_ws, ak_int_1, ak_int_2",119.132021630716,131.133488617657,0.657936411721953,0.010620827949866,0.528812206179585
"x08_large_gulls_7_ws","x10_harbour_s_2yrlead_ws","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x10_harbour_s_2yrlead_ws",123.989777536015,133.414208178798,0.730379662772128,0.010742686666635,0.439075917557959
"x08_large_gulls_7_ws","x10_northern_f_s_2yrlead_ws","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",117.264715479712,129.266182466653,0.807056515173858,0.0782010636121713,0.5903798382014
"x08_large_gulls_7_ws","x10_northern_f_s_2yrlead_ws","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",115.596733293377,126.50715782696,0.889892731278045,0.16467211865649,0.584736580444227
"x08_large_gulls_7_ws","x15_arrowtoothflounderbiomass_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_arrowtoothflounderbiomass_predak, ak_int_1, ak_int_2, ak_int_3",121.369851631419,135.506497595594,0.731201185514152,0.0139673973625963,0.667112196945953
"x08_large_gulls_7_ws","x15_arrowtoothflounderbiomass_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","ak_int_1, ak_int_2",115.636785219795,126.239269692927,1,0.537853195866676,0.661169367811232
"x08_large_gulls_7_ws","x15_sablefishbiomass_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_sablefishbiomass_predak, ak_int_1, ak_int_2, ak_int_3",126.060271280225,140.1969172444,0.878383674153562,0.170171514482572,0.632781875413279
"x08_large_gulls_7_ws","x15_sablefishbiomass_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x15_sablefishbiomass_predak, ak_int_2, ak_int_3",122.507066174497,134.287604477977,0.912950887565825,0.189432847499912,0.62193296107895
"x08_large_gulls_7_ws","x15_sablefishrecruitment_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_sablefishrecruitment_predak, ak_int_1, ak_int_2, ak_int_3",129.236112575078,143.372758539254,0.810338291465679,0.103866819087326,0.573191416546041
"x08_large_gulls_7_ws","x15_sablefishrecruitment_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x15_sablefishrecruitment_predak, ak_int_2, ak_int_3",125.395218805512,137.175757108992,0.827126236137971,0.0822930130399637,0.574283962424901
"x08_large_gulls_7_ws","x15_pacificcodbiomass_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_pacificcodbiomass_predak, ak_int_1, ak_int_2, ak_int_3",129.290050441006,143.426696405181,0.875624930567408,0.190476239391268,0.53268059267814
"x08_large_gulls_7_ws","x15_pacificcodbiomass_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","ak_int_2",126.228636601955,135.653067244739,0.916978958893265,0.186573159061089,0.428143272163383
"x08_large_gulls_7_ws","x15_spinydogfishgoa_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",122.668021590486,136.804667554662,0.959615059783514,0.318899970500535,0.661123362660612
"x08_large_gulls_7_ws","x15_spinydogfishgoa_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x15_spinydogfishgoa_predak, ak_int_1, ak_int_2, ak_int_3",120.810234238154,133.768826371981,0.930492452805415,0.229524155741964,0.657039435112272
"x08_large_gulls_7_ws","x15_halibutbiomassage8plus_2yrlead_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_halibutbiomassage8plus_2yrlead_predak, ak_int_1, ak_int_2",131.946334930959,144.904927064787,0.698011516157516,0.0363678367604984,0.441064930912922
"x08_large_gulls_7_ws","x15_halibutbiomassage8plus_2yrlead_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","None",128.637869959988,136.884246772423,0.772175141212829,0.0320769629272759,0.295119152355376
"x08_large_gulls_7_ws","x15_dfa_sleepersharks","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_dfa_sleepersharks, ak_int_1, ak_int_2",124.655291613682,137.61388374751,0.929246435738854,0.248012505470019,0.598172172417039
"x08_large_gulls_7_ws","x15_dfa_sleepersharks","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","ak_int_1",122.789801354209,132.214231996992,1,0.517287035447185,0.504372212702467
"x08_large_gulls_7_ws","x15_salmonsharkgoa_predak","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x15_salmonsharkgoa_predak, ak_int_1, ak_int_2",132.17793752801,145.136529661838,0.856579493434991,0.182430331210371,0.436178322402148
"x08_large_gulls_7_ws","x15_salmonsharkgoa_predak","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","None",128.637869959988,136.884246772423,0.772175141212829,0.0320769629272759,0.295119152355376
"x08_large_gulls_7_ws","x11_ssl_seak_pup_pred","Full","x08_large_gulls_7_ws, ncc_int_1, ncc_int_2","x11_ssl_seak_pup_pred, ak_int_1, ak_int_2, ak_int_3",121.675820524965,135.812466489141,0.907512758730633,0.194052730425825,0.670064550436314
"x08_large_gulls_7_ws","x11_ssl_seak_pup_pred","Fully_Pruned","x08_large_gulls_7_ws, ncc_int_1","x11_ssl_seak_pup_pred, ak_int_1, ak_int_2, ak_int_3",119.818033172633,132.77662530646,0.979936915804978,0.359320531597664,0.66810980383228
"x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead","Full","x09_dfa_hakeage5plus, ncc_int_1, ncc_int_2","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2, ak_int_3",115.60213582138,128.69464526168,0.451182306633322,3.8556851412741e-06,0.655875014117834
"x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead","Fully_Pruned","x09_dfa_hakeage5plus","x10_dfa_ssl.est.wholerange_2yrlead, ak_int_1, ak_int_2",111.132778929456,120.952161009681,0.841433675956766,0.0612459148547188,0.641144688165041
"x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws","Full","x09_dfa_hakeage5plus, ncc_int_1, ncc_int_2","x10_californian_s_l_2yrlead_ws, ak_int_1, ak_int_2",116.999023268312,129.000490255253,0.621525373494701,0.00302592178933148,0.599937697473637
"x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws","Fully_Pruned","x09_dfa_hakeage5plus","x10_californian_s_l_2yrlead_ws, ak_int_1",113.073382712126,121.801722338993,0.842873633446629,0.0603949972498689,0.564440035662271
"x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws","Full","x09_dfa_hakeage5plus, ncc_int_1, ncc_int_2","x10_harbour_s_2yrlead_ws, ak_int_1, ak_int_2",119.485226433765,131.486693420706,0.391056608209649,1.48757367324226e-06,0.535200001241217
"x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws","Fully_Pruned","x09_dfa_hakeage5plus","x10_harbour_s_2yrlead_ws",122.275275469102,130.521652281538,0.734231877997161,0.00583126258171263,0.445862549196116
"x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws","Full","x09_dfa_hakeage5plus, ncc_int_1, ncc_int_2","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",117.617920282747,129.619387269688,0.536943389197993,0.000343386707305382,0.594053977369875
"x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws","Fully_Pruned","x09_dfa_hakeage5plus","x10_northern_f_s_2yrlead_ws, ak_int_1, ak_int_2",114.11219014914,123.931572229365,0.795904724235569,0.0398952447391135,0.585681151345253
"x09_dfa_hakeage5plus","x15_arrowtoothflounderbiomass_predak","Full","x09_dfa_hakeage5plus, ncc_int_1, ncc_int_2","x15_arrowtoothflounderbiomass_predak, ak_int_1, ak_int_2, ak_int_3",121.634436871716,135.771082835891,0.50821374523126,1.31916961592093e-05,0.663408022712478
"x09_dfa_hakeage5plus","x15_arrowtoothflounderbiomass_predak","Fully_Pruned","x09_dfa_hakeage5plus","ak_int_1, ak_int_2",113.922283152883,123.346713795666,1,0.478671594516419,0.659681435038627
"x09_dfa_hakeage5plus","x15_sablefishbiomass_predak","Full","x09_dfa_hakeage5plus, ncc_int_1, ncc_int_2","x15_sablefishbiomass_predak, ak_int_1, ak_int_2, ak_int_3",126.324856520527,140.461502484702,0.598829364704221,0.00171973690816551,0.627684428631493
"x09_dfa_hakeage5plus","x15_sablefishbiomass_predak","Fully_Pruned","x09_dfa_hakeage5plus","x15_sablefishbiomass_predak, ak_int_2, ak_int_3",120.792564107586,131.395048580718,0.824884321573022,0.0477165505372104,0.615758795814769
