"year","csl_during_chinook","csl_weekly_avg_chin","csl_annual_peak","chinook_estuary_total","eulachon_during_chinook","shad_during_chinook","csl_threat_tier","eulachon_buffer_tier","shad_buffer_tier","overall_chinook_risk"
1998,581.840380873951,44.7569523749193,114,51112,161162.937694586,1852775,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
1999,238.126738282663,19.8438948568886,31.4890274106404,50744,166092.830043825,1521323,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2000,280.304727647764,28.0304727647764,44,182233,279253.788152383,454228,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2001,865.68712459713,78.69882950883,111,405879,2043469.46015214,1539014,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2002,1183.3938449299,98.6161537441587,190,346306,3531401.01685939,3069988,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK"
2003,1897.16848409977,135.512034578555,299,263723,8295186.85450449,4462176,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK"
2004,652,54.3333333333333,89,231201,1178616.65549298,5206649,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2005,841,76.4545454545455,139,125579,44592.3719210762,4094470,"Low CSL Exposure (<1k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","LOW RISK"
2006,535,59.4444444444444,88,163287,12157.1462582829,3790099,"Low CSL Exposure (<1k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","LOW RISK"
2007,804,67,91,98562,105591.287744799,2480456,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2008,822,68.5,134,183975,148792.945033776,1923455,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2009,761,69.1818181818182,120,175173,100703.96184631,1346660,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2010,1450,120.833333333333,181,316357,0,998134,"Moderate CSL Exposure (1k-3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","MODERATE RISK"
2011,899,99.8888888888889,182,235111,70237.9474387415,787066,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK"
2012,1017,101.7,163,209042,2356.83404127811,2349979,"Moderate CSL Exposure (1k-3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","MODERATE RISK"
2013,4179,417.9,628,142293,146334.423982109,3690625,"High CSL Exposure (>3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","HIGH RISK"
2014,4603,418.454545454545,1129,254988,1620949.45033011,2577160,"High CSL Exposure (>3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","HIGH RISK"
2015,10640,886.666666666667,1971,320168,33025.9126695892,1672433,"High CSL Exposure (>3k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","HIGH RISK"
2016,7879.7395604447,716.339960040427,2484,213131,109.055738391668,1594859,"High CSL Exposure (>3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","VERY HIGH RISK"
2017,6112,679.111111111111,1019,142017,0,2702859,"High CSL Exposure (>3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","VERY HIGH RISK"
2018,5226.89409655736,522.689409655736,892.713927091655,132480,0,5736863,"High CSL Exposure (>3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","VERY HIGH RISK"
2019,5297.58712586417,529.758712586417,899.79895825905,89043,2269.39472571219,7124495,"High CSL Exposure (>3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","VERY HIGH RISK"
2020,5197.33027981577,519.733027981577,906.883989426445,113255,0,5441196,"High CSL Exposure (>3k)","Minimal Buffer (<10k)","Major Late Buffer (>100k)","VERY HIGH RISK"
2021,4463.58822944521,405.780748131383,677,118817,81831.185864875,5326254,"High CSL Exposure (>3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","HIGH RISK"
2022,2724.76928756079,272.476928756079,580,217132,943052.235916966,5565838,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK"
2023,5013.23762880713,501.323762880713,1362,165570,6221179.41676434,4144253,"High CSL Exposure (>3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","HIGH RISK"
2024,3114.01883304219,283.092621185654,538,135217,175041.516534968,2811783,"High CSL Exposure (>3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","HIGH RISK"
