"year","week","csl_nonpup_total_emb_lisa","csl_nobs_emb_lisa"
1994,28,0,1
1994,37,138,1
1995,4,77,1
1995,27,0,1
1996,3,30,1
1996,7,25,1
1996,21,28,1
1996,23,7,2
1996,27,0,1
1996,31,0,1
1996,38,46,2
1997,21,24,1
1997,23,2,1
1997,38,50,1
1997,50,40,2
1997,51,25,2
1998,1,11,2
1998,2,11,3
1998,3,17,5
1998,4,32,4
1998,5,21,4
1998,6,33,5
1998,7,60,6
1998,8,69,4
1998,9,38,2
1998,10,55,3
1998,11,114,1
1998,12,86,1
1998,13,99,1
1998,14,75,2
1998,15,67,1
1998,16,39,2
1998,17,33,1
1998,18,17,1
1998,19,28,1
1998,22,0,1
1998,40,52,1
1999,14,20,1
1999,22,20,2
1999,37,30,1
1999,41,34,3
1999,42,32,5
1999,43,15,6
1999,44,22,6
1999,45,25,5
1999,46,29,4
1999,47,20,4
1999,48,7,4
1999,49,5,2
1999,50,1,2
2000,3,0,1
2000,6,51,1
2000,10,32,5
2000,11,23,7
2000,12,44,4
2000,15,23,1
2000,16,36,3
2000,17,23,7
2000,18,36,7
2000,19,30,7
2000,20,27,6
2000,21,28,2
2000,30,18,1
2000,32,28,2
2000,33,39,1
2000,34,46,3
2000,35,56,1
2000,38,32,2
2000,40,35,4
2000,41,30,3
2000,42,40,6
2000,43,44,4
2000,44,40,4
2000,45,41,3
2000,46,29,5
2000,47,21,2
2000,48,9,2
2000,50,24,1
2001,2,52,2
2001,3,38,1
2001,4,23,3
2001,5,12,4
2001,6,48,4
2001,7,26,4
2001,8,73,2
2001,9,96,4
2001,10,89,4
2001,11,62,3
2001,12,61,3
2001,13,108,4
2001,14,98,5
2001,15,100,4
2001,18,111,5
2001,19,73,6
2001,20,89,2
2001,21,41,6
2001,22,30,1
2001,23,1,1
2001,36,70,5
2001,37,85,4
2001,38,82,1
2001,39,82,5
2001,40,66,4
2001,41,84,3
2001,42,52,3
2001,43,53,2
2002,2,19,2
2002,3,10,1
2002,4,47,2
2002,5,58,7
2002,6,58,6
2002,7,62,3
2002,8,111,4
2002,9,133,2
2002,12,155,3
2002,13,163,3
2002,14,114,9
2002,15,100,4
2002,16,98,6
2002,17,91,6
2002,18,190,4
2002,19,144,4
2002,20,120,4
2002,21,77,3
2002,22,26,4
2002,31,3,5
2002,32,11,5
2002,33,51,5
2002,34,54,3
2002,35,73,3
2002,37,74,2
2002,38,69,1
2002,39,70,3
2002,40,87,2
2002,42,54,3
2002,43,71,1
2002,44,65,3
2002,45,168,1
2002,46,97,3
2002,47,21,4
2002,48,19,1
2002,49,58,3
2002,50,188,1
2002,51,49,2
2002,52,46,1
2003,1,84,2
2003,2,39,3
2003,3,73,2
2003,4,59,3
2003,5,166,2
2003,6,55,1
2003,7,183,1
2003,8,158,2
2003,9,217,1
2003,10,299,2
2003,11,234,1
2003,12,226,2
2003,13,223,1
2003,15,248,1
2003,16,195,2
2003,17,106,1
2003,18,96,2
2003,19,113,1
2003,20,211,1
2003,21,63,2
2003,22,6,2
2003,23,14,2
2003,24,5,2
2003,31,3,4
2003,32,28,2
2003,33,75,1
2003,34,95,1
2003,35,128,2
2003,36,147,2
2003,37,94,3
2003,38,127,1
2003,40,153,2
2003,41,187,2
2003,42,110,3
2003,43,71,3
2003,44,61,3
2003,45,37,1
2003,46,79,5
2003,47,85,6
2003,48,71,2
2003,49,87,2
2003,50,51,4
2003,51,34,3
2003,52,20,5
2004,1,24,5
2004,2,47,3
2004,3,46,5
2004,6,122,2
2004,7,108,4
2004,8,161,2
2004,9,88,5
2004,10,73,3
2004,11,52,3
2004,12,51,3
2004,13,58,3
2004,14,38,3
2004,15,46,2
2004,16,78,2
2004,17,71,1
2004,18,89,2
2004,19,72,1
2004,20,70,3
2004,21,49,2
2004,22,48,4
2004,23,25,5
2004,24,8,6
2004,25,1,3
2004,31,3,1
2004,32,33,2
2004,33,28,2
2004,34,136,2
2004,35,164,4
2004,36,136,3
2004,37,136,3
2004,38,69,4
2004,39,56,3
2004,40,45,5
2004,41,23,3
2004,42,40,3
2004,43,56,3
2004,44,73,5
2004,45,38,6
2004,46,42,2
2004,47,56,5
2004,48,55,5
2004,49,27,5
2004,50,86,6
2004,51,72,7
2004,52,77,6
2004,53,43,2
2005,1,29,6
2005,2,32,7
2005,3,38,7
2005,4,60,7
2005,5,63,7
2005,6,54,6
2005,7,48,6
2005,8,55,5
2005,9,55,6
2005,10,67,5
2005,11,62,7
2005,12,52,6
2005,13,55,5
2005,14,48,5
2005,15,57,6
2005,16,88,7
2005,17,88,3
2005,18,139,4
2005,19,108,4
2005,20,87,7
2005,21,81,4
2005,22,68,7
2005,23,53,7
2005,24,24,7
2005,25,9,5
2005,26,1,2
2005,31,10,5
2005,32,30,5
2005,33,81,4
2005,34,110,7
2005,35,136,6
2005,36,183,6
2005,37,211,3
2005,38,138,3
2005,39,121,4
2005,40,118,5
2005,41,140,7
2005,42,125,1
2005,43,63,3
2005,44,71,3
2005,45,79,3
2005,46,49,3
2005,47,11,3
2005,48,8,2
2005,49,11,3
2005,51,10,3
2005,52,25,3
2006,1,35,3
2006,2,30,4
2006,3,16,2
2006,4,25,3
2006,5,36,3
2006,6,46,3
2006,7,39,2
2006,8,19,4
2006,9,25,2
2006,10,34,4
2006,11,37,3
