"year","week","csl_nonpup_total_emb_lisa","csl_nobs_emb_lisa"
1996,21,28,1
1996,23,7,2
1997,21,24,1
1997,23,2,1
1998,10,55,3
1998,11,114,1
1998,12,86,1
1998,13,99,1
1998,14,75,2
1998,15,67,1
1998,16,39,2
1998,17,33,1
1998,18,17,1
1998,19,28,1
1998,22,0,1
1999,14,20,1
1999,22,20,2
2000,10,32,5
2000,11,23,7
2000,12,44,4
2000,15,23,1
2000,16,36,3
2000,17,23,7
2000,18,36,7
2000,19,30,7
2000,20,27,6
2000,21,28,2
2001,10,89,4
2001,11,62,3
2001,12,61,3
2001,13,108,4
2001,14,98,5
2001,15,100,4
2001,18,111,5
2001,19,73,6
2001,20,89,2
2001,21,41,6
2001,22,30,1
2001,23,1,1
2002,12,155,3
2002,13,163,3
2002,14,114,9
2002,15,100,4
2002,16,98,6
2002,17,91,6
2002,18,190,4
2002,19,144,4
2002,20,120,4
2002,21,77,3
2002,22,26,4
2003,10,299,2
2003,11,234,1
2003,12,226,2
2003,13,223,1
2003,15,248,1
2003,16,195,2
2003,17,106,1
2003,18,96,2
2003,19,113,1
2003,20,211,1
2003,21,63,2
2003,22,6,2
2003,23,14,2
2003,24,5,2
2004,10,73,3
2004,11,52,3
2004,12,51,3
2004,13,58,3
2004,14,38,3
2004,15,46,2
2004,16,78,2
2004,17,71,1
2004,18,89,2
2004,19,72,1
2004,20,70,3
2004,21,49,2
2004,22,48,4
2004,23,25,5
2004,24,8,6
2004,25,1,3
2005,10,67,5
2005,11,62,7
2005,12,52,6
2005,13,55,5
2005,14,48,5
2005,15,57,6
2005,16,88,7
2005,17,88,3
2005,18,139,4
2005,19,108,4
2005,20,87,7
2005,21,81,4
2005,22,68,7
2005,23,53,7
2005,24,24,7
2005,25,9,5
2005,26,1,2
2006,10,34,4
2006,11,37,3
2006,12,36,3
2006,13,50,1
2006,14,38,3
2006,15,53,4
2006,16,53,4
2006,17,72,5
2006,18,75,4
2006,19,84,3
2006,20,64,2
2006,21,88,4
2006,22,57,4
2006,23,31,3
2006,24,11,2
2006,25,4,1
2007,10,33,3
2007,11,46,4
2007,12,26,3
2007,13,56,3
2007,14,55,3
2007,15,78,4
2007,16,84,2
2007,17,91,4
2007,18,62,2
2007,19,84,3
2007,20,83,3
2007,21,74,3
2007,22,82,2
2007,23,39,4
2007,24,16,2
2007,25,5,1
2008,10,43,6
2008,11,25,4
2008,12,36,6
2008,13,38,6
2008,14,49,7
2008,15,76,6
2008,16,82,6
2008,17,86,7
2008,18,134,4
2008,19,108,7
2008,20,113,5
2008,21,57,4
2008,22,45,6
2008,23,23,7
2008,24,11,6
2008,25,1,5
2008,26,0,7
2009,10,44,4
2009,11,39,4
2009,12,58,5
2009,13,63,4
2009,14,72,3
2009,15,57,6
2009,16,93,7
2009,17,97,6
2009,18,87,6
2009,19,120,7
2009,20,89,4
2009,21,75,5
2009,22,45,6
2009,23,21,6
2009,24,5,5
2009,25,1,5
2009,26,0,4
2010,10,74,5
2010,11,91,5
2010,12,57,4
2010,13,72,4
2010,14,64,4
2010,15,98,5
2010,16,169,6
2010,17,181,4
2010,18,163,4
2010,19,119,6
2010,20,145,6
2010,21,147,5
2010,22,123,6
2010,23,123,6
2010,24,46,7
2010,25,26,5
2010,26,11,6
2011,10,41,5
2011,11,43,5
2011,12,62,4
2011,13,47,4
2011,14,97,5
2011,15,48,4
2011,16,123,5
2011,17,83,5
2011,18,122,7
2011,19,166,5
2011,20,182,4
2011,21,129,3
2011,22,111,6
2011,23,71,4
2011,24,30,5
2011,25,11,2
2012,10,51,1
2012,11,20,4
2012,12,69,4
2012,13,51,3
2012,14,107,5
2012,15,127,4
2012,16,99,3
2012,17,116,2
2012,18,102,4
2012,19,163,6
2012,20,155,3
2012,21,112,4
2012,22,97,5
2012,23,35,5
2012,24,11,1
2012,25,8,5
2013,10,240,5
2013,11,309,6
2013,12,260,2
2013,13,555,2
2013,14,573,3
2013,15,568,5
2013,16,518,2
2013,17,507,3
2013,18,570,2
2013,19,559,1
2013,20,628,4
2013,21,455,3
2013,22,269,5
2013,23,85,4
2013,24,20,4
2013,25,0,3
2013,26,0,2
2014,10,452,3
2014,11,685,4
2014,12,662,4
2014,13,875,4
2014,14,1129,4
2014,15,876,5
2014,16,304,5
2014,17,267,4
2014,18,474,6
2014,19,511,4
2014,20,401,4
2014,21,436,4
2014,22,156,5
2014,23,40,4
2014,24,9,5
2014,25,0,1
2014,26,0,4
2015,10,1334,4
2015,11,1512,1
2015,12,1841,4
2015,13,1971,4
2015,14,1319,4
2015,15,1147,3
2015,16,1121,3
2015,17,937,3
2015,18,1284,3
2015,19,747,4
2015,20,742,3
2015,21,565,3
2015,22,465,3
2015,23,294,4
2015,24,48,3
2015,25,3,3
2015,26,1,2
2016,10,2484,4
2016,11,2392,2
2016,12,932,6
2016,13,640,3
2016,14,429,2
2016,15,857,5
2016,16,1105,4
2016,17,801,3
2016,18,1039,1
2016,19,975,3
2016,20,895,5
2016,21,735,3
2016,22,651,5
2016,24,84,4
2016,25,28,3
2016,26,3,2
2017,10,538,4
2017,11,523,4
2017,12,551,3
2017,13,608,6
2017,14,512,4
2017,15,918,3
