"year","index_source","z_score_mashup","eulachon_lbs_reconstructed","sine_z_pred","sine_lbs_pred"
1993,"Back-Transformed Landings (1993-2009)",0.974883062468754,13797665.4519377,0.867636084298603,13128473.3069893
1994,"Back-Transformed Landings (1993-2009)",-0.524238946133533,4443549.47037365,0.53682849769095,11064323.4146171
1995,"Back-Transformed Landings (1993-2009)",0.739420540820063,12328442.9842701,-0.00254778271261186,7698761.26847554
1996,"Back-Transformed Landings (1993-2009)",-0.633526692988067,3761623.48064433,-0.555926476062338,4245827.85170455
1997,"Back-Transformed Landings (1993-2009)",-0.475808224495372,4745744.07806711,-0.923690287014178,1951081.11212936
1998,"Back-Transformed Landings (1993-2009)",-0.623967997927904,3821267.15321541,-0.973177770250898,1642292.59780185
1999,"Back-Transformed Landings (1993-2009)",-0.595929159084758,3996221.92609057,-0.68653757429152,3430849.91508261
2000,"Back-Transformed Landings (1993-2009)",-0.563748219048875,4197022.2904132,-0.167167862711604,6671576.48140098
2001,"Back-Transformed Landings (1993-2009)",0.335087739775153,9805515.63451354,0.397581944724342,10195462.5754002
2002,"Back-Transformed Landings (1993-2009)",1.63538889112604,17919043.2265991,0.803992712348236,12731355.874742
2003,"Back-Transformed Landings (1993-2009)",2.78944200805643,25120022.6283473,0.905462087726489,13364497.3404923
2004,"Back-Transformed Landings (1993-2009)",0.0754098573073821,8185195.86299926,0.665387573298901,11866497.2849351
2005,"Back-Transformed Landings (1993-2009)",-0.661884154999885,3584680.58535013,0.170369946845488,8777721.14517247
2006,"Back-Transformed Landings (1993-2009)",-0.620781766241183,3841148.37740577,-0.401025767487208,5212366.38914431
2007,"Back-Transformed Landings (1993-2009)",-0.636043816020577,3745917.31353395,-0.842683092073816,2456544.10477784
2008,"Back-Transformed Landings (1993-2009)",-0.607399593156954,3924649.51900527,-0.995285375112793,1504347.12120548
2009,"Back-Transformed Landings (1993-2009)",-0.606303529456722,3931488.66012676,-0.803785222532863,2699256.29300131
2010,"Gap Year (2010)",NA,NA,-0.337261445960246,5610238.51404564
2011,"Observed Egg SSB (2011-2024)",-0.649294359184354,3663237.50704625,0.235999362417477,9187230.95260638
2012,"Observed Egg SSB (2011-2024)",-0.745036630679015,3065831.62096066,0.709207939713587,12139924.5226419
2013,"Observed Egg SSB (2011-2024)",0.307049588186734,9630565.14992204,0.911666321824005,13403210.0836793
2014,"Observed Egg SSB (2011-2024)",1.41441442168116,16540222.2872153,0.770342794405196,12521389.4854801
2015,"Observed Egg SSB (2011-2024)",0.529278419883982,11017212.9705899,0.3362162271729,9812557.09074037
2016,"Observed Egg SSB (2011-2024)",-0.47255202252369,4766061.89791615,-0.234113257336073,6253855.32051114
2017,"Observed Egg SSB (2011-2024)",-0.993093737676145,1518022.34620671,-0.73491379679901,3128995.36722836
2018,"Observed Egg SSB (2011-2024)",-1.18334336767841,330916.097162911,-0.985534328217415,1565191.0172177
2019,"Observed Egg SSB (2011-2024)",-0.523281181585904,4449525.66217801,-0.895569866288087,2126544.93389493
2020,"Observed Egg SSB (2011-2024)",-1.19602016102023,251816.334426283,-0.497472803528703,4610562.96284989
2021,"Observed Egg SSB (2011-2024)",-0.0406663012731661,7460912.0196387,0.0651534653019343,8121198.75014198
2022,"Observed Egg SSB (2011-2024)",1.68700790955669,18241131.9441846,0.58935581710164,11392079.6847197
2023,"Observed Egg SSB (2011-2024)",1.54369427874505,17346893.6389241,0.88604158000495,13243318.6234795
2024,"Observed Egg SSB (2011-2024)",0.321843143567303,9722872.9354228,0.848188907544416,13007128.1824239
