"year","index_source","z_score_mashup","eulachon_lbs_reconstructed","sine_z_pred","sine_lbs_pred"
1993,"Back-Transformed Landings (1993-2009)",0.974883062468754,14233157.5245495,0.833635713137941,13371889.568124
1994,"Back-Transformed Landings (1993-2009)",-0.524238946133533,5092131.12725106,0.530953187975388,11526256.6332227
1995,"Back-Transformed Landings (1993-2009)",0.739420540820063,12797404.3879707,0.0114582846382162,8358591.42824405
1996,"Back-Transformed Landings (1993-2009)",-0.633526692988067,4425739.61730985,-0.533879462376736,5033347.24377991
1997,"Back-Transformed Landings (1993-2009)",-0.475808224495372,5387441.65060693,-0.904590529649153,2772904.37637962
1998,"Back-Transformed Landings (1993-2009)",-0.623967997927904,4484024.58902483,-0.964399239602257,2408215.58298419
1999,"Back-Transformed Landings (1993-2009)",-0.595929159084758,4654993.83938875,-0.691319541121343,4073342.71610374
2000,"Back-Transformed Landings (1993-2009)",-0.563748219048875,4851219.91082917,-0.185737217713808,7156174.75896373
2001,"Back-Transformed Landings (1993-2009)",0.335087739775153,10331950.0844272,0.366492546419816,10523443.6152364
2002,"Back-Transformed Landings (1993-2009)",1.63538889112604,18260649.0700542,0.762366679806211,12937320.4595011
2003,"Back-Transformed Landings (1993-2009)",2.78944200805643,25297587.9884421,0.856359406375917,13510449.2574225
2004,"Back-Transformed Landings (1993-2009)",0.0754098573073821,8748541.68617044,0.613918419409853,12032144.3236499
2005,"Back-Transformed Landings (1993-2009)",-0.661884154999885,4252827.53455543,0.124166522859482,9045839.68079567
2006,"Back-Transformed Landings (1993-2009)",-0.620781766241183,4503452.91292982,-0.432860461744246,5649319.35686446
2007,"Back-Transformed Landings (1993-2009)",-0.636043816020577,4410391.24142491,-0.852395975059535,3091165.19742098
2008,"Back-Transformed Landings (1993-2009)",-0.607399593156954,4585051.87333078,-0.980216171639002,2311770.46881569
2009,"Back-Transformed Landings (1993-2009)",-0.606303529456722,4591735.2167541,-0.769333557893687,3597645.48626974
2010,"Interpolated Gap (2010)",-0.682440020648303,4127486.36190017,-0.297269884897019,6476094.65271981
2011,"Observed Egg SSB (2011-2024)",-0.758576511839885,3663237.50704625,0.262441326028239,9888982.27932595
2012,"Observed Egg SSB (2011-2024)",-0.856550664082147,3065831.62096066,0.704046777368632,12581709.7989873
2013,"Observed Egg SSB (2011-2024)",0.220061095488296,9630565.14992204,0.865209578170534,13564413.9471082
2014,"Observed Egg SSB (2011-2024)",1.35324008832804,16540222.2872153,0.686685287632636,12475846.6103593
2015,"Observed Egg SSB (2011-2024)",0.447470379281409,11017212.9705899,0.234100537395389,9716171.86394509
2016,"Observed Egg SSB (2011-2024)",-0.577714074284176,4766061.89791615,-0.326171723512969,6299863.18643297
2017,"Observed Egg SSB (2011-2024)",-1.11039031491043,1518022.34620671,-0.788171952140019,3482776.74436594
2018,"Observed Egg SSB (2011-2024)",-1.30507491893005,330916.097162912,-0.982066011458479,2300490.91016497
2019,"Observed Egg SSB (2011-2024)",-0.629625798076529,4449525.66217801,-0.83657724791109,3187621.25743867
2020,"Interpolated Gap (2020)",-0.382693157874976,5955218.84090836,-0.405188229413033,5818053.19224297
2021,"Observed Egg SSB (2011-2024)",-0.135760517673424,7460912.0196387,0.153519776884834,9224823.69167182
2022,"Observed Egg SSB (2011-2024)",1.63218809597852,18241131.9441846,0.634162257684506,12155582.8823458
2023,"Observed Egg SSB (2011-2024)",1.48553363223609,17346893.6389241,0.860052068938789,13532965.5874943
2024,"Observed Egg SSB (2011-2024)",0.235199508484284,9722872.9354228,0.748150721095942,12850637.4189695
