"year","csl_during_chinook","csl_weekly_avg_chin","csl_annual_peak","chinook_estuary_total","eulachon_during_chinook","shad_during_chinook","csl_threat_tier","eulachon_buffer_tier","shad_buffer_tier","overall_chinook_risk","x09_dfa_hake_age5plus_doug","x05_dfa_abund_sardine_doug","sitka_herring_e_go_a_doug","x05_herring_ncc_doug","x05_anchovy_gam_doug","hake_age5plus_tier","sardine_tier","sitka_herring_tier","ncc_herring_tier","ncc_anchovy_tier","ocean_buffer_score","integrated_csl_risk"
1998,581.840380873951,44.7569523749193,114,51112,161162.937694586,1852775,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-0.316712571640036,2.40153770387274,-0.777814892413131,0.860026613689546,-0.867154257409658,"Moderate Biomass","High Biomass (Buffer)","Low Biomass (Upper Risk)","High Biomass (Buffer)","Low Biomass (Upper Risk)",3,"LOW RISK"
1999,238.126738282663,19.8438948568886,31.4890274106404,50744,166092.830043825,1521323,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-0.926183208938443,1.42696471881483,-0.721459995799431,0.180339012402128,-0.79814255227969,"Low Biomass (Upper Risk)","Moderate Biomass","Low Biomass (Upper Risk)","High Biomass (Buffer)","Low Biomass (Upper Risk)",2,"LOW RISK"
2000,280.304727647764,28.0304727647764,44,182233,279253.788152383,454228,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-1.0616334974394,1.57808129650838,-0.804212890153068,-0.207909799059202,-0.69309610906936,"Low Biomass (Upper Risk)","Moderate Biomass","Low Biomass (Upper Risk)","Moderate Biomass","Low Biomass (Upper Risk)",2,"LOW RISK"
2001,865.68712459713,78.69882950883,111,405879,2043469.46015214,1539014,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-0.780622267246462,1.44082138482464,-0.577802419373063,-0.315404414841075,-0.648674559339324,"Moderate Biomass","Moderate Biomass","Low Biomass (Upper Risk)","Moderate Biomass","Moderate Biomass",4,"LOW RISK"
2002,1183.3938449299,98.6161537441587,190,346306,3531401.01685939,3069988,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK",-0.211217149623046,1.70705598177676,-0.543500673680899,-0.0176953259907733,-0.543026940269272,"Moderate Biomass","Moderate Biomass","Low Biomass (Upper Risk)","Moderate Biomass","Moderate Biomass",4,"LOW RISK"
2003,1897.16848409977,135.512034578555,299,263723,8295186.85450449,4462176,"Moderate CSL Exposure (1k-3k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW-MODERATE RISK",0.668019350968991,2.69453495012126,-0.135686121520874,0.872835430200231,-0.371215783895814,"Moderate Biomass","High Biomass (Buffer)","Moderate Biomass","High Biomass (Buffer)","Moderate Biomass",5,"LOW RISK"
2004,652,54.3333333333333,89,231201,1178616.65549298,5206649,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",1.96012166292918,4.0963834319773,0.30512296123267,0.352480846353672,0.105897287109326,"High Biomass (Buffer)","High Biomass (Buffer)","High Biomass (Buffer)","High Biomass (Buffer)","High Biomass (Buffer)",5,"LOW RISK"
2005,841,76.4545454545455,139,125579,44592.3719210762,4094470,"Low CSL Exposure (<1k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","LOW RISK",1.26060965931115,4.1263881589629,-0.0165633451670172,-0.21451502900538,0.539479351204367,"High Biomass (Buffer)","High Biomass (Buffer)","Moderate Biomass","Moderate Biomass","High Biomass (Buffer)",5,"LOW RISK"
2006,535,59.4444444444444,88,163287,12157.1462582829,3790099,"Low CSL Exposure (<1k)","Moderate Buffer (10k-50k)","Major Late Buffer (>100k)","LOW RISK",0.260820538707465,3.60771341563814,-0.269271789604814,-0.426654108394354,0.173625528324673,"Moderate Biomass","High Biomass (Buffer)","Moderate Biomass","Low Biomass (Upper Risk)","High Biomass (Buffer)",4,"LOW RISK"
2007,804,67,91,98562,105591.287744799,2480456,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-1.56020325266284,3.112098118076,-0.291856562986562,0.00819205725407124,-0.388706908355377,"Low Biomass (Upper Risk)","High Biomass (Buffer)","Moderate Biomass","Moderate Biomass","Moderate Biomass",4,"LOW RISK"
2008,822,68.5,134,183975,148792.945033776,1923455,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-2.56798497075114,2.62788650327054,0.0389518658862401,0.146267277566677,-0.689581458168743,"Low Biomass (Upper Risk)","High Biomass (Buffer)","High Biomass (Buffer)","Moderate Biomass","Low Biomass (Upper Risk)",3,"LOW RISK"
2009,761,69.1818181818182,120,175173,100703.96184631,1346660,"Low CSL Exposure (<1k)","Substantial Buffer (>50k)","Major Late Buffer (>100k)","LOW RISK",-1.53839203520904,2.29107739384726,0.356962010447682,-0.336779202611836,-0.809616875998769,"Low Biomass (Upper Risk)","High Biomass (Buffer)","High Biomass (Buffer)","Low Biomass (Upper Risk)","Low Biomass (Upper Risk)",2,"LOW RISK"
