Dataset:, Sitka Herring Mature Biomass (tons)
Region:,Alaska
Source:,AFSC
Contact:,kyle.hebert@alaska.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,49250.1
1981,45517.5
1982,33162.8
1983,41608.9
1984,50518.8
1985,42195.2
1986,32714
1987,49443.2
1988,66116
1989,44587.8
1990,26827
1991,32453.1
1992,53059.4785
1993,35346.6
1994,22697.8
1995,31453
1996,40083.7
1997,47042.7225
1998,56023.9
1999,59077.6
2000,54593.473
2001,66861.966
2002,68720.673
2003,90818.9
2004,114705
2005,97273.8
2006,83580.3
2007,82356.5
2008,100282
2009,117514
2010,114424
2011,107765
2012,76614.5
2013,74130.8
2014,71726.1
2015,64322.2
2016,74183.3
2017,62819.1
2018,55925.5
2019,151775
2020,265316
2021,245302
2022,202283
2023,150617
