Dataset:, Steller Sea Lion Non-pups
Region:,Alaska
Source:,AFSC
Contact:,kathryn.sweeney@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,8508.4751
1981,8554.6725
1982,8686.5217
1983,9030.3636
1984,9449.189
1985,9675.4688
1986,9867.2021
1987,10114.4071
1988,null
1989,null
1990,10672.2479
1991,null
1992,null
1993,11418.2444
1994,11640.1941
1995,11912.6051
1996,12190.796
1997,12516.802
1998,12813.7404
1999,13183.463
2000,13453.0247
2001,13769.1321
2002,14129.925
2003,5201.0716
2004,5496.8412
2005,5788.0042
2006,6093.355
2007,6389.8266
2008,6653.9262
2009,6892.3974
2010,7077.9754
2011,7204.0199
2012,7277.3651
2013,7318.3162
2014,7303.7995
2015,7264.1331
2016,7203.5478
2017,7146.0509
2018,7081.8059
2019,7037.808
2020,7000.1183
2021,6962.0202
2022,null
2023,null
