Dataset:,SST Jun-Aug
Region:,Alaska
Source:,AFSC
Contact:,emily.lemagie@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,11.1418
1986,11.6675
1987,11.6941
1988,11.3168
1989,12.0323
1990,12.7209
1991,11.2236
1992,11.8843
1993,13.2363
1994,12.7038
1995,11.7975
1996,12.3483
1997,13.6935
1998,12.2491
1999,11.838
2000,12.6314
2001,12.4938
2002,11.989
2003,12.9377
2004,14.1012
2005,13.9952
2006,12.4974
2007,12.3058
2008,11.0154
2009,12.1445
2010,11.8026
2011,12.6272
2012,11.2882
2013,13.0437
2014,12.8179
2015,13.5146
2016,13.9178
2017,12.8157
2018,12.5441
2019,13.706
2020,12.8045
2021,12.4607
2022,13.0875
2023,12.4699
