Dataset:,"Steller sea lion non-pup counts, every 1-4 years"
Region:,Aleutian Islands
Source:,NOAA/AFSC/NMML
Contact:,kathryn.sweeney@noaa.gov
Year,Value
1971,61469.6683
1972,53123.15448
1973,46143.29585
1974,40397.37854
1975,35634.8047
1976,31654.52697
1977,28352.79604
1978,25591.22433
1979,23325.97869
1980,21347.20488
1981,19411.08865
1982,17301.88081
1983,14960.66989
1984,12560.48718
1985,10300.93908
1986,8410.235955
1987,6964.249578
1988,5940.623648
1989,5274.221254
1990,4866.790286
1991,4609.916855
1992,4437.423198
1993,4230.064901
1994,3960.643337
1995,3622.515375
1996,3223.849984
1997,2818.741962
1998,2428.330258
1999,2094.661912
2000,1820.024427
2001,1605.416833
2002,1441.466217
2003,1321.89984
2004,1232.144311
2005,1154.78835
2006,1088.575935
2007,1028.856827
2008,969.9509712
2009,909.7272672
2010,852.8668754
2011,801.7013948
2012,751.7318249
2013,708.9870471
2014,668.7679442
2015,633.4563401
2016,596.7465937
2017,558.7292494
2018,519.1241918
2019,477.6433555
2020,438.5887432
2021,400.7912815
2022,367.6902056
2023,null
