Dataset:,Steller Sea Lion Non-pups
Region:,
Source:,AFSC
Contact:,kathryn.sweeney@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,57154.4568
1981,53601.2507
1982,50250.9388
1983,46952.6721
1984,43792.6812
1985,40419.012
1986,36835.8789
1987,32774.5069
1988,null
1989,0
1990,23348.4218
1991,0
1992,null
1993,18377.9861
1994,17335.1226
1995,16479.2723
1996,15792.9183
1997,15357.8453
1998,14977.3497
1999,14688.5349
2000,14410.9618
2001,14403.826
2002,14488.4131
2003,13921.8205
2004,14340.2936
2005,14872.8993
2006,15472.0011
2007,16108.6256
2008,16799.3158
2009,17552.1516
2010,18371.7778
2011,19211.0612
2012,20113.0395
2013,20952.406
2014,21716.178
2015,22253.0838
2016,22544.3319
2017,22583.4922
2018,22393.1436
2019,22077.1438
2020,21769.8055
2021,21638.0973
2022,null
2023,null
