Dataset:,SST Jun-Aug
Region:,Alaska
Source:,AFSC
Contact:,emily.lemagie@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,9.118
1986,9.2308
1987,10.1993
1988,10.1779
1989,9.6586
1990,10.301
1991,9.3642
1992,9.9954
1993,10.5391
1994,9.9716
1995,9.4953
1996,9.9366
1997,11.4551
1998,10.2029
1999,9.342
2000,10.1091
2001,10.9626
2002,10.3539
2003,10.8223
2004,11.2701
2005,11.8841
2006,10.0377
2007,9.9372
2008,9.4308
2009,9.6243
2010,9.4983
2011,9.6388
2012,9.343
2013,10.1285
2014,11.2686
2015,11.3391
2016,12.135
2017,10.7905
2018,10.2433
2019,11.8514
2020,11.3282
2021,10.255
2022,10.8048
2023,9.8701
