Dataset:,pinkSalmonAsia
Region:,Asia,
Source:,Ruggerone et al.
Contact:,
Year,Value
1952,142.241005789471
1953,281.602122558018
1954,120.863448132343
1955,228.539157328196
1956,198.133436939353
1957,318.815382839891
1958,131.115302843634
1959,200.292357977724
1960,81.9632585849852
1961,126.335042098008
1962,60.2773792100061
1963,143.088339152153
1964,57.3302714145611
1965,147.48620444419
1966,71.7806278488027
1967,151.389797524885
1968,65.7674148718913
1969,166.430453051862
1970,62.402463177849
1971,148.007029718382
1972,73.1001211655962
1973,121.681721759296
1974,91.5582132278401
1975,180.848033430518
1976,118.173575858954
1977,211.958354289714
1978,112.977945801287
1979,212.287509544142
1980,126.977079593176
1981,173.960836334136
1982,113.922801486505
1983,292.171618207549
1984,163.792088631572
1985,134.8710083817
1986,99.0146231119665
1987,153.301209479028
1988,93.1882768988573
1989,184.559845347111
1990,138.086933769506
1991,267.007810671061
1992,150.884442257222
1993,209.464246786509
1994,279.845795553997
1995,203.398291939151
1996,222.534728984185
1997,251.190217318065
1998,262.461447300452
1999,233.044485104128
2000,237.708187666444
2001,178.292714326657
2002,202.407625232132
2003,223.347480856176
2004,171.288685127099
2005,301.771474893854
2006,222.18636763
2007,320.238395721667
2008,201.045380981048
2009,467.294282056667
2010,246.695942662667
2011,439.58586787
2012,315.60087036
2013,210.233650766667
2014,193.099078101667
2015,250.069980901333
2016,335
2017,287
2018,614
2019,435
2020,205
