Dataset:,pinkSalmonNorthAmerica_2025
Region:,Asia,
Source:, updated data from Ruggerone; 28may25 e-mail 
Contact:,
Year,Value
1952,55.8
1953,54.9
1954,58.9
1955,65.9
1956,62.7
1957,43.2
1958,55.9
1959,39.7
1960,43.1
1961,55.8
1962,102.6
1963,81.1
1964,88.9
1965,57.6
1966,89.3
1967,23.9
1968,106.3
1969,54.3
1970,69.8
1971,54.8
1972,53.1
1973,36.9
1974,42.4
1975,47.4
1976,80.8
1977,67.2
1978,121.1
1979,107.6
1980,117.5
1981,123.9
1982,109.3
1983,138.8
1984,145
1985,191.4
1986,162.7
1987,117
1988,119
1989,179.8
1990,164.9
1991,219
1992,126.3
1993,189.1
1994,173.9
1995,231.5
1996,201.7
1997,150.8
1998,181.1
1999,268
2000,144.1
2001,223.5
2002,180.5
2003,243
2004,190
2005,292.7
2006,125.4
2007,229.8
2008,130.6
2009,190.3
2010,163.6
2011,215.3
2012,122
2013,368.1
2014,166.2
2015,302.6
2016,96.9
2017,226.1
2018,87
2019,203.2
2020,111.3
2021,249.3
2022,119.2
2023,241.7
