Dataset:,pinkSalmon_2025
Region:,Asia,
Source:, updated data from Ruggerone; 28may25 e-mail 
Contact:,
Year,Value
1952,198
1953,336.5
1954,179.8
1955,294.4
1956,260.8
1957,362
1958,187
1959,240
1960,125.1
1961,182.1
1962,162.9
1963,224.2
1964,146.2
1965,205.1
1966,161.1
1967,175.3
1968,172.1
1969,220.7
1970,132.2
1971,202.8
1972,126.2
1973,158.6
1974,134
1975,228.2
1976,199
1977,279.2
1978,234.1
1979,319.9
1980,244.5
1981,297.9
1982,223.2
1983,431
1984,308.8
1985,326.3
1986,261.7
1987,270.3
1988,212.2
1989,364.4
1990,303
1991,486
1992,277.2
1993,398.6
1994,453.7
1995,434.9
1996,424.2
1997,402
1998,443.6
1999,501
2000,381.8
2001,401.8
2002,382.9
2003,466.3
2004,361.3
2005,594.5
2006,347.6
2007,550
2008,331.6
2009,657.6
2010,410.3
2011,654.9
2012,437.6
2013,578.3
2014,359.3
2015,552.7
2016,432.1
2017,512.8
2018,701.3
2019,638.8
2020,313.6
2021,797.7
2022,299.1
2023,863.8
