FMP,Year,Spiny Dogfish,Pacific Sleeper Shark,Salmon Shark,Other Sharks,Total
BSAI,2003,13,342,199,34,589
BSAI,2004,9,421,26,60,515
BSAI,2005,11,333,47,26,417
BSAI,2006,7,313,63,305,689
BSAI,2007,3,257,44,28,332
BSAI,2008,17,127,41,8,194
BSAI,2009,20,51,71,10,151
BSAI,2010,15,28,12,6,61
BSAI,2011,8,47,47,5,107
BSAI,2012,20,48,26,3,96
BSAI,2013,24,68,25,2,119
BSAI,2014,19,63,54,2,138
BSAI,2015,8,61,36,3,109
BSAI,2016,6,81,48,1,135
BSAI,2017,10,56,75,2,143
BSAI,2018,10,40,51,2,103
BSAI,2019,4,53,92,1,151
BSAI,2020,4,68,106,2,180
BSAI,2021,2,78,141,1,221
BSAI,2022,1,73,48,2,123
GOA,1997,658,136,124,123,1041
GOA,1998,864,74,71,1380,2389
GOA,1999,314,558,132,33,1037
GOA,2000,398,608,38,73,1117
GOA,2001,494,249,33,77,853
GOA,2002,117,226,58,26,427
GOA,2003,357,270,35,53,715
GOA,2004,183,282,41,39,544
GOA,2005,443,482,60,69,1054
GOA,2006,1188,252,34,83,1557
GOA,2007,794,295,141,107,1337
GOA,2008,531,66,7,12,617
GOA,2009,1653,56,9,24,1741
GOA,2010,429,170,108,9,716
GOA,2011,486,26,7,5,523
GOA,2012,459,180,50,12,701
GOA,2013,2050,94,3,9,2156
GOA,2014,1335,93,147,6,1582
GOA,2015,947,60,362,21,1389
GOA,2016,1782,71,90,9,1951
GOA,2017,1609,140,13,11,1772
GOA,2018,3129,250,6,24,3410
GOA,2019,1868,92,15,14,1989
GOA,2020,1217,98,37,6,1358
GOA,2021,1763,91,45,19,1917
GOA,2022,1381,65,33,71,1550
