"year","BSAI_spiny_dogfish","GOA_spiny_dogfish","BSAI_pacific_sleeper_shark","GOA_pacific_sleeper_shark","BSAI_salmon_shark","GOA_salmon_shark","BSAI_pacific_sleeper_shark_2y_avg_forward","GOA_pacific_sleeper_shark_2y_avg_forward","BSAI_salmon_shark_2y_avg_forward","GOA_salmon_shark_2y_avg_forward","BSAI_pacific_sleeper_shark_2y_avg_backward","GOA_pacific_sleeper_shark_2y_avg_backward","BSAI_salmon_shark_2y_avg_backward","GOA_salmon_shark_2y_avg_backward"
1997,NA,658,NA,136,NA,124,NA,105,NA,97.5,NA,NA,NA,NA
1998,NA,864,NA,74,NA,71,NA,316,NA,101.5,NA,105,NA,97.5
1999,NA,314,NA,558,NA,132,NA,583,NA,85,NA,316,NA,101.5
2000,NA,398,NA,608,NA,38,NA,428.5,NA,35.5,NA,583,NA,85
2001,NA,494,NA,249,NA,33,NA,237.5,NA,45.5,NA,428.5,NA,35.5
2002,NA,117,NA,226,NA,58,NA,248,NA,46.5,NA,237.5,NA,45.5
2003,13,357,342,270,199,35,381.5,276,112.5,38,NA,248,NA,46.5
2004,9,183,421,282,26,41,377,382,36.5,50.5,381.5,276,112.5,38
2005,11,443,333,482,47,60,323,367,55,47,377,382,36.5,50.5
2006,7,1188,313,252,63,34,285,273.5,53.5,87.5,323,367,55,47
2007,3,794,257,295,44,141,192,180.5,42.5,74,285,273.5,53.5,87.5
2008,17,531,127,66,41,7,89,61,56,8,192,180.5,42.5,74
2009,20,1653,51,56,71,9,39.5,113,41.5,58.5,89,61,56,8
2010,15,429,28,170,12,108,37.5,98,29.5,57.5,39.5,113,41.5,58.5
2011,8,486,47,26,47,7,47.5,103,36.5,28.5,37.5,98,29.5,57.5
2012,20,459,48,180,26,50,58,137,25.5,26.5,47.5,103,36.5,28.5
2013,24,2050,68,94,25,3,65.5,93.5,39.5,75,58,137,25.5,26.5
2014,19,1335,63,93,54,147,62,76.5,45,254.5,65.5,93.5,39.5,75
2015,8,947,61,60,36,362,71,65.5,42,226,62,76.5,45,254.5
2016,6,1782,81,71,48,90,68.5,105.5,61.5,51.5,71,65.5,42,226
2017,10,1609,56,140,75,13,48,195,63,9.5,68.5,105.5,61.5,51.5
2018,10,3129,40,250,51,6,46.5,171,71.5,10.5,48,195,63,9.5
2019,4,1868,53,92,92,15,60.5,95,99,26,46.5,171,71.5,10.5
2020,4,1217,68,98,106,37,73,94.5,123.5,41,60.5,95,99,26
2021,2,1763,78,91,141,45,75.5,78,94.5,39,73,94.5,123.5,41
2022,1,1381,73,65,48,33,NA,NA,NA,NA,75.5,78,94.5,39
