"","SEMnode","node_id","Lisaname","var","guildname","rev"
"1","PreyNCC","X01","X01.ZooPreyNCC_JSOES_Cassin_s_aukl_WS","01.ZooPreyNCC_JSOES_0_smoothed","X01.ZooPreyNCC_JSOES_0_smoothed",0
"2","PreyNCC","X01","X01.ZooPreyNCC_JSOES_DFA_sumPreyOfPrey_planktonJun","01.ZooPreyNCC_JSOES_DFA1","X01.ZooPreyNCC_JSOES_DFA1",1
"3","PreyNCC","X01","X01.ZooPreyNCC_JSOES_habCompInd","01.ZooPreyNCC_JSOES_1_smoothed","X01.ZooPreyNCC_JSOES_1_smoothed",0
"4","PreyNCC","X01","X01.ZooPreyNCC_NHL_NHLlogSum_win_05","01.ZooPreyNCC_NHL_0_smoothed","X01.ZooPreyNCC_NHL_0_smoothed",0
"5","PreyNCC","X01","X01.ZooPreyNCC_NHL_NHLlogSum_win_15","01.ZooPreyNCC_NHL_1_smoothed","X01.ZooPreyNCC_NHL_1_smoothed",0
"6","PreyNCC","X01","X01.ZooPreyNCC_NHL_NHLlogSum_win_25","01.ZooPreyNCC_NHL_2_smoothed","X01.ZooPreyNCC_NHL_2_smoothed",0
"7","PreyNCC","X01","X01.ZooPreyNCC_WPbirds_Red_necked_phal_WS","01.ZooPreyNCC_WPbirds_0_smoothed","X01.ZooPreyNCC_WPbirds_0_smoothed",0
"8","PreyNCC","X01","X01.ZooPreyNCC_WPbirds_Red_phal_WS","01.ZooPreyNCC_WPbirds_smoothed","X01.ZooPreyNCC_WPbirds_smoothed",0
"9","PreyNCC","X01","X01.ZooPreyNCC_WPbirds_Sabine_gull_WS","01.ZooPreyNCC_WPbirds_1_smoothed","X01.ZooPreyNCC_WPbirds_1_smoothed",0
"10","PreyNCC","X02","X02.CompJellyNCC_DFA1_SeaNettle_","02.CompJellyNCC_DFA1","X02.CompJellyNCC_DFA1",0
"11","PreyNCC","X02","X02.krill","01.ZooPreyNCC_NHL_DFA1","X01.ZooPreyNCC_NHL_DFA1",0
"12","PreyNCC","X03","X03.FishPreyNCC_DFA1_rhinoAukDietAnch_NCC","03.FishPreyNCC_DFA1","X03.FishPreyNCC_DFA1",0
"13","PreyNCC","X03","X03.FishPreyNCC_b_DFA_comMurreDietHerrSard_Yaquina_NCC","03.FishPreyNCC_b_DFA1","X03.FishPreyNCC_b_DFA1",0
"14","PreyNCC","X03","X03.FishPreyNCC_b_HakeAge1","03.FishPreyNCC_b_0_smoothed","X03.FishPreyNCC_b_0_smoothed",0
"15","PreyNCC","X04","X04.CompFishNCC_0_CaliforniaMarketSquid_","04.CompFishNCC_0_smoothed","X04.CompFishNCC_0_smoothed",0
"16","PreyNCC","X04","X04.CompFishNCC_1_PacificPompano_","04.CompFishNCC_1_smoothed","X04.CompFishNCC_1_smoothed",0
