"","year","run","WA_abund_june"
"1","1999","28",117282.418374748
"2","2000","28",108782.623244147
"3","2001","28",31291.7131012311
"4","2002","28",76248.9700807988
"5","2003","28",101031.961482993
"6","2004","28",74000.461335391
"7","2005","28",81396.7791946958
"8","2006","28",51010.3699830351
"9","2007","28",21842.4307884955
"10","2008","28",72345.6765650016
"11","2009","28",68645.7116297263
"12","2010","28",98822.3109391294
"13","2011","28",66884.6628818453
"14","2012","28",63239.8396939391
"15","2013","28",30046.5713900457
"16","2014","28",52829.592257703
"17","2015","28",15436.081720469
"18","2016","28",25635.3991321728
"19","2017","28",41586.095368143
"20","2018","28",34852.3042671435
"21","2019","28",23260.7431769374
"22","2020","28",47645.3427813934
"23","2021","28",7523.52758597373
"24","2022","28",99120.8929761532
"25","2023","28",30473.208960137
"26","2024","28",9088.81075208488
"27","1999","151",34007.3429461593
"28","2000","151",51664.5609505873
"29","2001","151",6140.56091856913
"30","2002","151",16627.8435486015
"31","2003","151",12700.3219985247
"32","2004","151",15395.3628811219
"33","2005","151",13438.8222118521
"34","2006","151",12374.28354374
"35","2007","151",4057.62528412492
"36","2008","151",15310.2277194436
"37","2009","151",3712.43575248583
"38","2010","151",18727.0277781747
"39","2011","151",6967.63837175295
"40","2012","151",12550.0878961459
"41","2013","151",4905.6707157938
"42","2014","151",11231.00565442
"43","2015","151",946.287147090199
"44","2016","151",4783.00171357036
"45","2017","151",7061.89206187493
"46","2018","151",3556.01332468304
"47","2019","151",5723.77767761703
"48","2020","151",11628.2861878274
"49","2021","151",1119.84102223309
"50","2022","151",17693.0916769031
"51","2023","151",2347.67429615166
"52","2024","151",812.302858322986
"53","1999","247",34569.5532881495
"54","2000","247",51689.807610515
"55","2001","247",8264.51481561272
"56","2002","247",15959.4915736783
"57","2003","247",12486.0320424409
"58","2004","247",19441.8043499642
"59","2005","247",19454.9359167932
"60","2006","247",12156.5295888769
"61","2007","247",3891.34354438551
"62","2008","247",11327.861422704
"63","2009","247",2989.3649177648
"64","2010","247",18765.4337377471
"65","2011","247",6955.49730355979
"66","2012","247",11555.1054321404
"67","2013","247",4563.08708548452
"68","2014","247",12885.2287526367
"69","2015","247",1167.31098892094
"70","2016","247",5322.20732047192
"71","2017","247",8000.70390600182
"72","2018","247",3568.47955786052
"73","2019","247",6837.29323651233
"74","2020","247",11295.4115358864
"75","2021","247",1135.59653456469
"76","2022","247",18664.9502405388
"77","2023","247",2000.6423889621
"78","2024","247",764.05838793969
"79","1999","169",46915.9539680991
"80","2000","169",57834.5033678731
"81","2001","169",14083.2211818533
"82","2002","169",22179.1243348675
"83","2003","169",22602.5338715941
"84","2004","169",24241.5549131216
"85","2005","169",33039.7164037006
"86","2006","169",15441.7924602732
"87","2007","169",5736.46627527198
"88","2008","169",15142.2214701732
"89","2009","169",4180.11264858476
"90","2010","169",24740.09833121
"91","2011","169",9252.09647431631
"92","2012","169",16949.8033028325
"93","2013","169",6991.71880603175
"94","2014","169",16381.0378963241
"95","2015","169",2724.51755886978
"96","2016","169",6516.29177789136
"97","2017","169",10740.3919611259
"98","2018","169",5620.84211917164
"99","2019","169",8139.36739071926
"100","2020","169",15494.4753504327
"101","2021","169",1375.24040482158
"102","2022","169",25978.9118700889
"103","2023","169",4084.25464139075
"104","2024","169",1060.11476904251
