"","node","indNames","total_count","percent_occurrence","node_id","Lisaname","order"
"1","AbundanceIndNames","07.Cond2NCC_DFA1",52,100,"X07","X07_DFA_cpue_IntSprJunHW",0
"2","GrowthIndNames","06.Cond1NCC_DFA1",44,84.6,"X06","X06_DFA_IGF_mu",0.5
"3","GrowthIndNames","06.Cond1NCC_0_smoothed",5,9.6,"X06","X06_Lmu_IntSprJunH",0.5
"4","GrowthIndNames","06.Cond1NCC_2_smoothed",3,5.8,"X06","X06_StomFull_May",0.5
"5","PreyNCCindNames","05.ForageFishNCC_DFA1",44,84.6,"X05","X05_DFA_abundSardine",1
"6","PreyNCCindNames","01.ZooPreyNCC_JSOES_1_smoothed",3,5.8,"X01","X01_habCompInd",1
"7","PreyNCCindNames","04.CompFishNCC_smoothed",3,5.8,"X04","X04_marketsquid_GAM",1
"8","PreyNCCindNames","05.ForageFishNCC_1_smoothed",2,3.8,"X05","X05_herring_GAM",1
"9","PredNCCindNames","09.PredFishNCC_b_DFA1",28,53.8,"X09","X09_DFA_HakeAge5Plus",2
"10","PredNCCindNames","08.PredBirdNCC_b_0_smoothed",19,36.5,"X08","X08_commonMurre_JSOES",2
"11","PredNCCindNames","08.PredBirdNCC_b_2_smoothed",5,9.6,"X08","X08_Loons_8_WS",2
"12","PreyAKindNames","12.ZooPreyAK_DFA1",17,32.7,"X12","X12_DFA_biomassEuphShelfSum",3
"13","PreyAKindNames","12.ZooPreyAK_1_smoothed",8,15.4,"X12","X12_copepodCom_EGoA",3
"14","PreyAKindNames","12.ZooPreyAK_0_smoothed",7,13.5,"X12","X12_copepodBiomass_WGoA",3
"15","PreyAKindNames","13.FishPreyAK_b_4_smoothed",6,11.5,"X13","X13_pollockBiomassGoAage3plus_predAK",3
"16","PreyAKindNames","13.FishPreyAK_b_2_smoothed",5,9.6,"X13","X13_hexagram_EAI",3
"17","PreyAKindNames","13.FishPreyAK_b_DFA1",3,5.8,"X13","X13_DFA_WGOA_DFA_seabirds",3
"18","PreyAKindNames","13.FishPreyAK_b_1_smoothed",2,3.8,"X13","X13_gadid_WAI",3
"19","PreyAKindNames","13.FishPreyAK_DFA1",1,1.9,"X13","X13_DFA_WGOA_DFA_midTrophic",3
"20","PreyAKindNames","13.FishPreyAK_b_3_smoothed",1,1.9,"X13","X13_hexagram_WAI",3
"21","PreyAKindNames","14.CompAK_0_smoothed",1,1.9,"X14","X14_pinkSalmon",3
"22","PreyAKindNames","14.CompAK_smoothed",1,1.9,"X14","X14_pinkSalmonAsia",3
"23","PredAKindNames","10.PredMammalNCC_1_smoothed",21,40.4,"X10","X10_Harbor_seal_CR_2yrLead",4
"24","PredAKindNames","15.PredFishAK_b_DFA1",13,25,"X15","X15_DFA_sleeperSharkBSAI_predAK",4
"25","PredAKindNames","15.PredFishAK_3_smoothed",4,7.7,"X15","X15_PacificCodBiomass_predAK",4
"26","PredAKindNames","10.PredMammalNCC_2_smoothed",3,5.8,"X10","X10_Harbour_s_2yrLead_WS",4
"27","PredAKindNames","15.PredFishAK_1_smoothed",3,5.8,"X15","X15_sablefishBiomass_predAK",4
"28","PredAKindNames","15.PredFishAK_2_smoothed",3,5.8,"X15","X15_sablefishRecruitment_predAK",4
"29","PredAKindNames","15.PredFishAK_b_0_smoothed",2,3.8,"X15","X15_spinyDogfishBSAI_predAK",4
"30","PredAKindNames","15.PredFishAK_0_smoothed",1,1.9,"X15","X15_ArrowtoothFlounderBiomass_predAK",4
"31","PredAKindNames","15.PredFishAK_5_smoothed",1,1.9,"X15","X15_halibutBiomassAge8plus_2yrLead_predAK",4
"32","PredAKindNames","15.PredFishAK_b_2_smoothed",1,1.9,"X15","X15_salmonSharkGoA_predAK",4
