"","SEMnode","Lisaname","var","maxImport","DAG1A_long","DAG1A_short","DAG1B_long","DAG1B_short","DAG1C_long","DAG1C_short"
"1","Abundance","X07_DFA_cpue_IntSprJunHW","07.Cond2NCC_DFA1",1,1,1,1,1,1,1
"2","Growth","X06_StomFull_May","06.Cond1NCC_2_smoothed",1,NA,0,NA,0,NA,1
"3","Growth","X06_DFA_IGF_mu","06.Cond1NCC_DFA1",1,1,0.909,1,0.935,0.017,0
"4","PredAK","X10_Harbor_seal_CR_2yrLead","10.PredMammalNCC_1_smoothed",1,0.131,0.771,0.012,0.421,0.045,1
"5","PredNCC","X08_commonMurre_JSOES","08.PredBirdNCC_b_0_smoothed",1,NA,0.483,NA,0.443,NA,1
"6","SAR","X16_SAR","16.SAR",1,1,1,1,1,1,1
"7","Growth","X06_Lmu_IntSprJunH","06.Cond1NCC_0_smoothed",0.98,0,0.091,0,0.065,0.983,0
"8","PreyNCC","X05_DFA_abundSardine","05.ForageFishNCC_DFA1",0.97,0.973,0.837,0.973,0.852,0.013,0
"9","PreyAK","X12_DFA_biomassEuphShelfSum","12.ZooPreyAK_DFA1",0.93,0.241,0.151,0.932,0.386,0.025,0.017
"10","PreyNCC","X01_habCompInd","01.ZooPreyNCC_JSOES_1_smoothed",0.87,0,0,0,0,0.216,0.874
"11","PredNCC","X09_DFA_HakeAge5Plus","09.PredFishNCC_b_DFA1",0.79,0.742,0.326,0.792,0.436,0.788,0
"12","PredAK","X15_PacificCodBiomass_predAK","15.PredFishAK_3_smoothed",0.7,0.029,0.001,0.705,0.108,0.058,0
"13","PreyAK","X12_copepodCom_EGoA","12.ZooPreyAK_1_smoothed",0.69,0.031,0.083,0.004,0.047,0.691,0.001
"14","PreyAK","X14_pinkSalmon","14.CompAK_0_smoothed",0.52,0.015,0.016,0.001,0.01,0.064,0.519
"15","PreyNCC","X04_marketsquid_GAM","04.CompFishNCC_smoothed",0.37,0.027,0.005,0.027,0.005,0.369,0.108
"16","PreyAK","X12_copepodBiomass_WGoA","12.ZooPreyAK_0_smoothed",0.32,0.255,0.322,0.022,0.138,0.024,0.027
"17","PredAK","X15_DFA_sleeperSharkBSAI_predAK","15.PredFishAK_b_DFA1",0.3,0.227,0.153,0.019,0.303,0.11,0
"18","PreyNCC","X05_herring_GAM","05.ForageFishNCC_1_smoothed",0.28,0,0,0,0,0.278,0
"19","PredAK","X10_Harbour_s_2yrLead_WS","10.PredMammalNCC_2_smoothed",0.22,0.222,0.002,0.028,0.001,0.028,0
"20","PredNCC","X08_Loons_8_WS","08.PredBirdNCC_b_2_smoothed",0.22,0.222,0.145,0.189,0.104,0.042,0
"21","PreyAK","X14_pinkSalmonAsia","14.CompAK_smoothed",0.17,0.029,0.025,0.002,0.013,0.033,0.166
"22","PredAK","X15_salmonSharkGoA_predAK","15.PredFishAK_b_2_smoothed",0.16,0.029,0.001,0.007,0.001,0.163,0
"23","PreyAK","X13_hexagram_EAI","13.FishPreyAK_b_2_smoothed",0.16,0.105,0.164,0.01,0.068,0.026,0.001
"24","PreyNCC","X01_DFA_sumPreyOfPrey_planktonJun","01.ZooPreyNCC_JSOES_DFA1",0.16,NA,0.158,NA,0.142,NA,0
"25","PreyAK","X13_pollockBiomassGoAage3plus_predAK","13.FishPreyAK_b_4_smoothed",0.15,0.07,0.019,0.006,0.151,0.014,0.002
"26","PredAK","X15_halibutBiomassAge8plus_2yrLead_predAK","15.PredFishAK_5_smoothed",0.14,0.027,0.002,0.142,0.003,0.092,0
"27","PreyAK","X13_DFA_WGOA_DFA_midTrophic","13.FishPreyAK_DFA1",0.14,0.013,0.033,0.002,0.014,0.013,0.135
"28","PredAK","X15_ArrowtoothFlounderBiomass_predAK","15.PredFishAK_0_smoothed",0.12,0.038,0.001,0.006,0.004,0.122,0
"29","PredNCC","X09_DFA_ChinAbundSnakeFall","09.PredFishNCC_DFA1",0.11,0.004,0.002,0.004,0.002,0.107,0
"30","PreyAK","X13_ammod_WAI","13.FishPreyAK_b_0_smoothed",0.11,0.038,0.064,0.003,0.026,0.019,0.109
"31","PreyAK","X13_DFA_WGOA_DFA_seabirds","13.FishPreyAK_b_DFA1",0.09,0.093,0.064,0.009,0.04,0.01,0.001
"32","PredAK","X15_sablefishBiomass_predAK","15.PredFishAK_1_smoothed",0.08,0.082,0.056,0.017,0.035,0.073,0
"33","PredAK","X15_sablefishRecruitment_predAK","15.PredFishAK_2_smoothed",0.07,0.025,0.001,0.02,0.049,0.072,0
"34","PredAK","X10_DFA_ssl.est.wholerange_2yrLead","10.PredMammalNCC_DFA1",0.06,0.028,0.002,0.008,0.001,0.064,0
"35","PredAK","X15_spinyDogfishBSAI_predAK","15.PredFishAK_b_0_smoothed",0.06,NA,0.001,NA,0.055,NA,0
"36","PreyAK","X13_gadid_WAI","13.FishPreyAK_b_1_smoothed",0.06,0.018,0.011,0.002,0.059,0.017,0.001
"37","PredAK","X10_Californian_s_l_2yrLead_WS","10.PredMammalNCC_0_smoothed",0.05,0.051,0.004,0.005,0.002,0.04,0
"38","PredAK","X10_Northern_f_s_2yrLead_WS","10.PredMammalNCC_3_smoothed",0.05,0.047,0.001,0.007,0.001,0.03,0
"39","PredAK","X15_spinyDogfishGoA_predAK","15.PredFishAK_4_smoothed",0.05,0.025,0.001,0.013,0.005,0.051,0
"40","PredAK","X15_sharkCatchGoA_predAK","15.PredFishAK_b_3_smoothed",0.05,0.04,0.001,0.008,0.009,0.053,0
"41","PreyNCC","X04_Sablefish__JSOES","04.CompFishNCC_2_smoothed",0.05,0,0,0,0,0.048,0
"42","PreyAK","X13_hexagram_WAI","13.FishPreyAK_b_3_smoothed",0.04,0.045,0.009,0.004,0.019,0.038,0.002
"43","PredNCC","X08_DFA_DC_corm_3_WS","08.PredBirdNCC_DFA1",0.03,0.006,0.002,0.005,0.002,0.031,0
"44","PredNCC","X11_Harbor_seal_CR","11.PredMammalSmolt_0_smoothed",0.03,0.015,0.031,0.003,0.004,0.007,0
"45","PreyAK","X14_pinkSalmonNorthAmerica","14.CompAK_1_smoothed",0.03,0.03,0.022,0.003,0.018,0.013,0.001
"46","PredNCC","X11_DFA_Harbour_p_WS","11.PredMammalSmolt_DFA1",0.02,0.004,0.002,0.003,0.002,0.021,0
"47","PreyAK","X12_copepodCom_WGoA","12.ZooPreyAK_2_smoothed",0.02,0.016,0.015,0.001,0.012,0.012,0.017
"48","PreyNCC","X05_anchovy_GAM","05.ForageFishNCC_0_smoothed",0.02,0,0,0,0,0.009,0.018
"49","PredNCC","X08_Large_gulls_7_WS","08.PredBirdNCC_b_1_smoothed",0.01,0.007,0.003,0.004,0.004,0.004,0
"50","PreyNCC","X02.krill","01.ZooPreyNCC_NHL_DFA1",0.01,0,0,0,0,0.006,0
"51","PreyNCC","X01_Red_necked_phal_WS","01.ZooPreyNCC_WPbirds_0_smoothed",0.01,0,0,0,0,0.006,0
"52","PreyNCC","X02_DFA_SeaNettle_","02.CompJellyNCC_DFA1",0.01,0,0,0,0,0.007,0
"53","PreyNCC","X03_HakeAge1","03.FishPreyNCC_0_smoothed",0.01,0,0,0,0,0.006,0
"54","PreyNCC","X03_DFA_comMurreDietHerrSard_Yaquina_NCC","03.FishPreyNCC_DFA1",0.01,0,0,0,0,0.007,0
"55","PreyNCC","X04_PacificPompano_","04.CompFishNCC_1_smoothed",0.01,0,0,0,0,0.015,0
"56","PreyNCC","X05_herring_NCC","05.ForageFishNCC_2_smoothed",0.01,0,0,0,0,0.007,0
"57","Growth","X06_Lmu_IntSprMayW","06.Cond1NCC_1_smoothed",0,NA,0,NA,0,NA,0
"58","PredAK","X15_salmonSharkBSAI_predAK","15.PredFishAK_b_1_smoothed",0,NA,0.002,NA,0.002,NA,0
"59","PredNCC","X09_canaryRockfish","09.PredFishNCC_b_0_smoothed",0,NA,0.003,NA,0.002,NA,0
"60","PredNCC","X09_chilipepper","09.PredFishNCC_b_1_smoothed",0,NA,0.002,NA,0.002,NA,0
"61","PreyNCC","X01_Cassin_s_aukl_WS","01.ZooPreyNCC_JSOES_0_smoothed",0,0,0,0,0,0.003,0
"62","PreyNCC","X01_NHLlogSum_win_05","01.ZooPreyNCC_NHL_0_smoothed",0,NA,0,NA,0,NA,0
"63","PreyNCC","X01_NHLlogSum_win_15","01.ZooPreyNCC_NHL_1_smoothed",0,NA,0,NA,0,NA,0
