"Formula","Predictors","Num_Params","Raw_AIC","Complete_Yrs","Missing_Yrs","Guild_Sources","adjaic2"
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X11_DFA_Harbour_p_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X11_DFA_Harbour_p_WS",4,29.877677466554,24,0,"Growth, PreyNCC, PredNCC, PredNCC",29.877677466554
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X13_hexagram_WAI","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X13_hexagram_WAI",4,31.1315575075521,24,0,"Growth, PreyNCC, PredNCC, PreyAK",31.1315575075521
"X16_SAR ~ X06_Lmu_IntSprJunH + X05_anchovy_GAM + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA","X06_Lmu_IntSprJunH + X05_anchovy_GAM + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA",4,31.5831387569672,24,0,"Growth, PreyNCC, PreyAK, PreyAK",31.5831387569672
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X12_copepodCom_EGoA","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X12_copepodCom_EGoA",4,32.3119236659163,24,0,"Growth, PreyNCC, PredNCC, PreyAK",32.3119236659163
"X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus","X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus",4,32.6799235546913,24,0,"Growth, PreyNCC, PredNCC, PredNCC",32.6799235546913
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_Cassin_s_aukl_WS + X01_habCompInd + X08_DFA_DC_corm_3_WS","X06_Lmu_IntSprJunH + X01_Cassin_s_aukl_WS + X01_habCompInd + X08_DFA_DC_corm_3_WS",4,33.4457595579059,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",33.4457595579059
"X16_SAR ~ X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA","X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA",4,33.6672144960165,24,0,"Growth, PredNCC, PreyAK, PreyAK",33.6672144960165
"X16_SAR ~ X07_DFA_cpue_IntSprJunHW + X12_DFA_biomassEuphShelfSum + X15_DFA_sleeperSharkBSAI_predAK + X15_spinyDogfishBSAI_predAK","X07_DFA_cpue_IntSprJunHW + X12_DFA_biomassEuphShelfSum + X15_DFA_sleeperSharkBSAI_predAK + X15_spinyDogfishBSAI_predAK",4,23.7772166361424,19,5,"Abundance, PreyAK, PredAK, PredAK",33.7772166361424
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X13_gadid_WAI + X13_hexagram_WAI","X06_Lmu_IntSprJunH + X01_habCompInd + X13_gadid_WAI + X13_hexagram_WAI",4,34.0514806638179,24,0,"Growth, PreyNCC, PreyAK, PreyAK",34.0514806638179
"X16_SAR ~ X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus","X06_Lmu_IntSprJunH + X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus",4,34.1966611567829,24,0,"Growth, PreyNCC, PredNCC, PredNCC",34.1966611567829
"X16_SAR ~ X06_DFA_IGF_mu + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_canaryRockfish","X06_DFA_IGF_mu + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X09_canaryRockfish",4,24.2395871026403,19,5,"Growth, PreyNCC, PredNCC, PredNCC",34.2395871026403
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall",3,34.2605072794938,24,0,"Growth, PreyNCC, PredNCC",34.2605072794938
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_Large_gulls_7_WS + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X08_Large_gulls_7_WS + X09_DFA_ChinAbundSnakeFall",4,34.3020905971563,24,0,"Growth, PreyNCC, PredNCC, PredNCC",34.3020905971563
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS",3,34.4353391118584,24,0,"Growth, PreyNCC, PredNCC",34.4353391118584
"X16_SAR ~ X07_DFA_cpue_IntSprJunHW + X09_chilipepper + X12_DFA_biomassEuphShelfSum + X15_DFA_sleeperSharkBSAI_predAK","X07_DFA_cpue_IntSprJunHW + X09_chilipepper + X12_DFA_biomassEuphShelfSum + X15_DFA_sleeperSharkBSAI_predAK",4,24.5497474338247,19,5,"Abundance, PredNCC, PreyAK, PredAK",34.5497474338247
"X16_SAR ~ X06_Lmu_IntSprJunH + X04_PacificPompano_ + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA","X06_Lmu_IntSprJunH + X04_PacificPompano_ + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA",4,34.5934312093079,24,0,"Growth, PreyNCC, PredNCC, PreyAK",34.5934312093079
