model_id,rhs,Lisaname,Times_Selected_In_Top100,Times_Positive,Pct_Positive,Pct_Negative,Times_Significant,Pct_Significant,Mean_Estimate
DAG1A_long,Abundance,X07_DFA_cpue_IntSprJunHW,100,100,100,0,100,100,0.434
DAG1A_long,Growth,X06_DFA_IGF_mu,100,0,0,100,1,1,-0.055
DAG1A_long,PredAK,X10_Harbor_seal_CR_2yrLead,19,19,100,0,13,68.4,0.325
DAG1A_long,PredAK,X10_Harbour_s_2yrLead_WS,18,0,0,100,13,72.2,-0.353
DAG1A_long,PredAK,X15_DFA_sleeperSharkBSAI_predAK,17,0,0,100,11,64.7,-0.356
DAG1A_long,PredAK,X10_Northern_f_s_2yrLead_WS,5,5,100,0,2,40,0.212
DAG1A_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,5,0,0,100,2,40,-0.206
DAG1A_long,PredAK,X15_sablefishBiomass_predAK,5,5,100,0,2,40,0.223
DAG1A_long,PredAK,X15_sharkCatchGoA_predAK,5,5,100,0,0,0,0.188
DAG1A_long,PredAK,X10_Californian_s_l_2yrLead_WS,4,4,100,0,2,50,0.196
DAG1A_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,4,1,25,75,1,25,0.012
DAG1A_long,PredAK,X15_PacificCodBiomass_predAK,4,4,100,0,0,0,0.18
DAG1A_long,PredAK,X15_sablefishRecruitment_predAK,4,1,25,75,0,0,-0.017
DAG1A_long,PredAK,X15_salmonSharkGoA_predAK,4,0,0,100,0,0,-0.122
DAG1A_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,3,3,100,0,0,0,0.134
DAG1A_long,PredAK,X15_spinyDogfishGoA_predAK,3,3,100,0,0,0,0.114
DAG1A_long,PredNCC,X09_DFA_HakeAge5Plus,72,0,0,100,72,100,-0.606
DAG1A_long,PredNCC,X08_Loons_8_WS,27,27,100,0,27,100,0.529
DAG1A_long,PredNCC,X11_Harbor_seal_CR,1,1,100,0,1,100,0.439
DAG1A_long,PreyAK,X12_copepodBiomass_WGoA,28,0,0,100,28,100,-0.418
DAG1A_long,PreyAK,X12_DFA_biomassEuphShelfSum,14,0,0,100,13,92.9,-0.376
DAG1A_long,PreyAK,X13_DFA_WGOA_DFA_seabirds,9,0,0,100,6,66.7,-0.319
DAG1A_long,PreyAK,X13_ammod_WAI,8,0,0,100,4,50,-0.289
DAG1A_long,PreyAK,X13_hexagram_EAI,8,0,0,100,7,87.5,-0.3
DAG1A_long,PreyAK,X12_copepodCom_EGoA,5,5,100,0,2,40,0.199
DAG1A_long,PreyAK,X14_pinkSalmonNorthAmerica,5,0,0,100,1,20,-0.237
DAG1A_long,PreyAK,X13_hexagram_WAI,4,4,100,0,2,50,0.226
DAG1A_long,PreyAK,X13_pollockBiomassGoAage3plus_predAK,4,0,0,100,2,50,-0.341
DAG1A_long,PreyAK,X14_pinkSalmonAsia,4,4,100,0,2,50,0.307
DAG1A_long,PreyAK,X12_copepodCom_WGoA,3,0,0,100,0,0,-0.125
DAG1A_long,PreyAK,X13_DFA_WGOA_DFA_midTrophic,3,1,33.3,66.7,0,0,-0.068
DAG1A_long,PreyAK,X13_gadid_WAI,3,3,100,0,0,0,0.118
DAG1A_long,PreyAK,X14_pinkSalmon,2,1,50,50,0,0,0.026
DAG1A_long,PreyNCC,X05_DFA_abundSardine,99,0,0,100,99,100,-0.934
DAG1A_long,PreyNCC,X04_marketsquid_GAM,1,1,100,0,1,100,0.91
