Lisaname,Node2,Total_Selections,Mean_Akaike_Weight,Total_Akaike_Weight
X07_DFA_cpue_IntSprJunHW,Abundance,508032,1,6
X09_DFA_HakeAge5Plus,PredNCC,67872,0.9397,5.6381
X06_DFA_IGF_mu,Growth,153216,0.6762,4.0571
X05_DFA_abundSardine,Competitor,26712,0.6139,3.6833
X12_DFA_biomassEuphShelfSum,PreyAK,36288,0.4141,2.4849
X15_DFA_sleeperSharkBSAI_predAK,PredAK,34944,0.3613,2.1679
X06_Lmu_IntSprJunH,Growth,153216,0.2291,1.3744
X12_copepodCom_EGoA,PreyAK,36288,0.1839,1.1031
X15_PacificCodBiomass_predAK,PredAK,34944,0.1703,1.0218
X04_marketsquid_GAM,Competitor,26712,0.1117,0.6703
X01_DFA_sumPreyOfPrey_planktonJun,PreyNCC,20160,0.1924,0.5772
X15_sablefishBiomass_predAK,PredAK,34944,0.0902,0.5413
X13_gadid_WAI,PreyAK,36288,0.0852,0.5111
X13_DFA_WGOA_DFA_seabirds,PreyAK,36288,0.0787,0.4724
X05_herring_GAM,Competitor,26712,0.0746,0.4474
X12_copepodBiomass_WGoA,PreyAK,36288,0.0695,0.4171
X04_Sablefish__JSOES,Competitor,26712,0.0673,0.4035
X13_pollockBiomassGoAage3plus_predAK,PreyAK,36288,0.0614,0.3686
X06_Lmu_IntSprMayW,Growth,100800,0.1177,0.3531
X10_Harbour_s_2yrLead_WS,PredAK,34944,0.0574,0.3445
X15_halibutBiomassAge8plus_2yrLead_predAK,PredAK,34944,0.0562,0.3375
X15_ArrowtoothFlounderBiomass_predAK,PredAK,34944,0.0538,0.3229
X15_salmonSharkGoA_predAK,PredAK,34944,0.0459,0.2756
X13_hexagram_EAI,PreyAK,36288,0.0426,0.2557
X15_sablefishRecruitment_predAK,PredAK,34944,0.0394,0.2362
X06_StomFull_May,Growth,100800,0.0718,0.2153
X11_Harbor_seal_CR,PredNCC,67872,0.0275,0.1649
X10_Californian_s_l_2yrLead_WS,PredAK,34944,0.0224,0.1345
X15_spinyDogfishGoA_predAK,PredAK,34944,0.0214,0.1284
X10_DFA_ssl.est.wholerange_2yrLead,PredAK,34944,0.0199,0.1194
X15_spinyDogfishBSAI_predAK,PredAK,26880,0.0392,0.1177
X10_Northern_f_s_2yrLead_WS,PredAK,34944,0.019,0.1141
X15_sharkCatchGoA_predAK,PredAK,34944,0.0189,0.1133
X12_copepodCom_WGoA,PreyAK,36288,0.0124,0.0744
X13_ammod_WAI,PreyAK,36288,0.0117,0.0703
X14_pinkSalmonAsia,Competitor,36288,0.0102,0.0613
X14_pinkSalmonNorthAmerica,Competitor,36288,0.0086,0.0514
X13_hexagram_WAI,PreyAK,36288,0.0079,0.0476
X11_DFA_Harbour_p_WS,PredNCC,67872,0.0077,0.0463
X09_canaryRockfish,PredNCC,50400,0.0139,0.0418
X14_pinkSalmon,Competitor,36288,0.0069,0.0411
X13_DFA_WGOA_DFA_midTrophic,Competitor,36288,0.0068,0.0408
X08_Large_gulls_7_WS,PredNCC,67872,0.0064,0.0382
X08_DFA_DC_corm_3_WS,PredNCC,67872,0.0059,0.0352
X04_PacificPompano_,Competitor,26712,0.0052,0.0314
X02_DFA_SeaNettle_,PreyNCC,26712,0.0049,0.0293
X15_salmonSharkBSAI_predAK,PredAK,26880,0.0082,0.0247
X09_DFA_ChinAbundSnakeFall,PredNCC,67872,0.0038,0.023
X05_herring_NCC,Competitor,26712,0.0037,0.0225
X03_HakeAge1,PreyNCC,26712,0.0033,0.0197
X05_anchovy_GAM,Competitor,26712,0.0031,0.0188
X01_NHLlogSum_win_05,PreyNCC,20160,0.0047,0.0142
X01_Red_necked_phal_WS,PreyNCC,26712,0.0022,0.0132
X03_DFA_comMurreDietHerrSard_Yaquina_NCC,PreyNCC,26712,0.0022,0.0132
X09_chilipepper,PredNCC,50400,0.0043,0.0128
X02.krill,PreyNCC,26712,0.0021,0.0123
X01_Cassin_s_aukl_WS,PreyNCC,26712,0.0016,0.0099
X01_Red_phal_WS,PreyNCC,26712,0.0015,0.0088
X01_NHLlogSum_win_25,PreyNCC,20160,0.0028,0.0084
X01_Sabine_gull_WS,PreyNCC,26712,0.0013,0.0079
X04_CaliforniaMarketSquid_,Competitor,26712,0.001,0.0061
X01_NHLlogSum_win_15,PreyNCC,20160,9e-4,0.0027
