"Timeline","DAG","X06_Proxy","dAIC_X16_SAR","dAIC_sarSR","dAIC_sarUC"
"With_2001","DAG1C_short_reduced","X06_StomFull_May",0,0,0
"With_2001","DAG1C_short","X06_StomFull_May",1.3,1.3,1.3
"With_2001","DAG1A_short","X06_StomFull_May",40.9,13.1,14.7
"With_2001","DAG1C_short_reduced","X06_Lmu_IntSprJunH",41.8,15.4,17
"With_2001","DAG1C_short_reduced","X06_DFA_IGF_mu",42.7,16.6,17.3
"With_2001","DAG1A_short_reduced","No X06 Slot",42.8,15,16.6
"With_2001","DAG1B_short_reduced","X06_DFA_IGF_mu",42.8,12.2,15.3
"With_2001","DAG1C_short","X06_Lmu_IntSprJunH",43.1,16.8,18.3
"With_2001","DAG1A_short","X06_Lmu_IntSprJunH",43.4,15.6,17.2
"With_2001","DAG1C_short","X06_DFA_IGF_mu",44,17.9,18.7
"With_2001","DAG1A_short","X06_DFA_IGF_mu",44,16.1,17.7
"With_2001","DAG1B_short","X06_DFA_IGF_mu",44.5,13.7,17.3
"With_2001","DAG1B_short","X06_Lmu_IntSprJunH",49.8,17.4,18.2
"With_2001","DAG1B_short","X06_StomFull_May",51.5,17,19.7
"With_2001","DAG1B_short_reduced","X06_Lmu_IntSprJunH",52.6,22,18
"With_2001","DAG1C_long_reduced","X06_Lmu_IntSprJunH",55.7,34.8,36
"With_2001","DAG1B_short_reduced","X06_StomFull_May",56.4,22.4,21.5
"With_2001","DAG1C_long","X06_Lmu_IntSprJunH",57.7,36.8,37.9
"With_2001","DAG1B_long","X06_DFA_IGF_mu",72.1,45.2,34
"With_2001","DAG1B_long_reduced","X06_DFA_IGF_mu",72.1,45.2,34
"With_2001","DAG1A_long","X06_StomFull_May",73.3,43,32.8
"With_2001","DAG1B_long","X06_Lmu_IntSprJunH",76.8,40.4,42.3
"With_2001","DAG1B_long_reduced","X06_Lmu_IntSprJunH",76.8,40.4,42.3
"With_2001","DAG1A_long_reduced","No X06 Slot",79.1,46.2,33.7
"With_2001","DAG1A_long","X06_Lmu_IntSprJunH",80.2,47.4,34.8
"With_2001","DAG1A_long","X06_DFA_IGF_mu",81.1,48.2,35.7
"With_2001","DAG1C_long_reduced","X06_DFA_IGF_mu",81.5,54.3,32.8
"With_2001","DAG1C_long","X06_DFA_IGF_mu",83.5,56.2,34.7
"With_2001","DAG1C_long_reduced","X06_StomFull_May",86.2,53.5,38.7
"With_2001","DAG1B_long","X06_StomFull_May",86.7,49.5,43.6
"With_2001","DAG1B_long_reduced","X06_StomFull_May",86.7,49.5,43.6
"With_2001","DAG1C_long","X06_StomFull_May",88.2,55.5,40.7
"Without_2001","DAG1C_short_reduced","X06_StomFull_May",0,0,0
"Without_2001","DAG1C_short","X06_StomFull_May",1.3,1.3,1.3
"Without_2001","DAG1A_short","X06_StomFull_May",40.9,13.1,14.7
"Without_2001","DAG1C_short_reduced","X06_Lmu_IntSprJunH",41.8,15.4,17
"Without_2001","DAG1C_short_reduced","X06_DFA_IGF_mu",42.7,16.6,17.3
"Without_2001","DAG1A_short_reduced","No X06 Slot",42.8,15,16.6
"Without_2001","DAG1B_short_reduced","X06_DFA_IGF_mu",42.8,12.2,15.3
"Without_2001","DAG1C_short","X06_Lmu_IntSprJunH",43.1,16.8,18.3
"Without_2001","DAG1A_short","X06_Lmu_IntSprJunH",43.4,15.6,17.2
"Without_2001","DAG1C_short","X06_DFA_IGF_mu",44,17.9,18.7
"Without_2001","DAG1A_short","X06_DFA_IGF_mu",44,16.1,17.7
"Without_2001","DAG1B_short","X06_DFA_IGF_mu",44.5,13.7,17.3
"Without_2001","DAG1B_short","X06_Lmu_IntSprJunH",49.8,17.4,18.2
"Without_2001","DAG1C_long_reduced","X06_Lmu_IntSprJunH",51.2,18,33.7
"Without_2001","DAG1B_short","X06_StomFull_May",51.5,17,19.7
"Without_2001","DAG1B_short_reduced","X06_Lmu_IntSprJunH",52.6,22,18
"Without_2001","DAG1C_long","X06_Lmu_IntSprJunH",53.2,20,35.7
"Without_2001","DAG1B_short_reduced","X06_StomFull_May",56.4,22.4,21.5
"Without_2001","DAG1C_long_reduced","X06_DFA_IGF_mu",63.4,23.6,30.5
"Without_2001","DAG1C_long","X06_DFA_IGF_mu",65.3,25.6,32.5
"Without_2001","DAG1C_long_reduced","X06_StomFull_May",65.4,18.3,36.3
"Without_2001","DAG1B_long","X06_DFA_IGF_mu",66.8,32.1,31.7
"Without_2001","DAG1B_long_reduced","X06_DFA_IGF_mu",66.8,32.1,31.7
"Without_2001","DAG1C_long","X06_StomFull_May",67.3,20.3,38.3
"Without_2001","DAG1A_long","X06_StomFull_May",68.9,31.4,30.6
"Without_2001","DAG1B_long","X06_Lmu_IntSprJunH",73.9,34.8,40
"Without_2001","DAG1B_long_reduced","X06_Lmu_IntSprJunH",73.9,34.8,40
"Without_2001","DAG1A_long_reduced","No X06 Slot",74.2,34.1,31.4
"Without_2001","DAG1A_long","X06_DFA_IGF_mu",76.1,36,33.3
"Without_2001","DAG1A_long","X06_Lmu_IntSprJunH",76.2,36.1,33.4
"Without_2001","DAG1B_long","X06_StomFull_May",79.3,35,41.2
"Without_2001","DAG1B_long_reduced","X06_StomFull_May",79.3,35,41.2
