"Timeline","DAG","X06_Proxy","Response","AIC","dAIC"
"With_2001","DAG1C_long","DFA_IGF_mu","X16_SAR",100.55631444162,82.1025975669484
"With_2001","DAG1C_long","DFA_IGF_mu","sarSR",102.810648887926,54.8954546044655
"With_2001","DAG1C_long","DFA_IGF_mu","sarUC",66.7009007505666,33.3983615405883
"With_2001","DAG1C_long","Lmu_IntSprJunH","X16_SAR",74.7815766622376,56.3278597875657
"With_2001","DAG1C_long","Lmu_IntSprJunH","sarSR",83.3344802038254,35.4192859203653
"With_2001","DAG1C_long","Lmu_IntSprJunH","sarUC",69.8976761854074,36.5951369754291
"With_2001","DAG1C_long","StomFull_May","X16_SAR",105.332555568542,86.87883869387
"With_2001","DAG1C_long","StomFull_May","sarSR",102.080986113247,54.165791829787
"With_2001","DAG1C_long","StomFull_May","sarUC",72.6941938416281,39.3916546316498
"With_2001","DAG1C_short","DFA_IGF_mu","X16_SAR",61.1466387635873,42.6929218889154
"With_2001","DAG1C_short","DFA_IGF_mu","sarSR",64.4678057302591,16.552611446799
"With_2001","DAG1C_short","DFA_IGF_mu","sarUC",50.6277035368358,17.3251643268575
"With_2001","DAG1C_short","Lmu_IntSprJunH","X16_SAR",60.2453153196236,41.7915984449518
"With_2001","DAG1C_short","Lmu_IntSprJunH","sarSR",63.3357201243574,15.4205258408974
"With_2001","DAG1C_short","Lmu_IntSprJunH","sarUC",50.2899716814887,16.9874324715104
"With_2001","DAG1C_short","StomFull_May","X16_SAR",18.4537168746718,0
"With_2001","DAG1C_short","StomFull_May","sarSR",47.9151942834601,0
"With_2001","DAG1C_short","StomFull_May","sarUC",33.3025392099783,0
"With_2001","DAG1A_long","DFA_IGF_mu","X16_SAR",98.1890298231497,79.7353129484779
"With_2001","DAG1A_long","DFA_IGF_mu","sarSR",94.7913404185388,46.8761461350787
"With_2001","DAG1A_long","DFA_IGF_mu","sarUC",67.6261417892885,34.3236025793102
"With_2001","DAG1A_long","Lmu_IntSprJunH","X16_SAR",97.3163091329218,78.8625922582499
"With_2001","DAG1A_long","Lmu_IntSprJunH","sarSR",93.9186197283107,46.0034254448506
"With_2001","DAG1A_long","Lmu_IntSprJunH","sarUC",66.7534210990632,33.4508818890849
"With_2001","DAG1A_long","StomFull_May","X16_SAR",90.4433387840753,71.9896219094034
"With_2001","DAG1A_long","StomFull_May","sarSR",89.5410548751301,41.62586059167
"With_2001","DAG1A_long","StomFull_May","sarUC",64.7857176262485,31.4831784162701
"With_2001","DAG1A_short","DFA_IGF_mu","X16_SAR",61.0612505536712,42.6075336789993
"With_2001","DAG1A_short","DFA_IGF_mu","sarSR",62.6936399161729,14.7784456327128
"With_2001","DAG1A_short","DFA_IGF_mu","sarUC",49.6646294342995,16.3620902243211
"With_2001","DAG1A_short","Lmu_IntSprJunH","X16_SAR",60.5368003347094,42.0830834600376
"With_2001","DAG1A_short","Lmu_IntSprJunH","sarSR",62.1691896972112,14.2539954137511
"With_2001","DAG1A_short","Lmu_IntSprJunH","sarUC",49.1401792153045,15.8376400053262
"With_2001","DAG1A_short","StomFull_May","X16_SAR",58.0265817051162,39.5728648304444
"With_2001","DAG1A_short","StomFull_May","sarSR",59.6589710676181,11.743776784158
"With_2001","DAG1A_short","StomFull_May","sarUC",46.6299605857114,13.3274213757331
"With_2001","DAG1B_long","DFA_IGF_mu","X16_SAR",89.1980354767956,70.7443186021238
"With_2001","DAG1B_long","DFA_IGF_mu","sarSR",91.778535915376,43.8633416319159
