"year","csl_annual_mean","eulachon_ssb_est","log_annual_scale"
1976,14,NA,2.63905732961526
1977,14,NA,2.63905732961526
1978,14,NA,2.63905732961526
1979,14,NA,2.63905732961526
1980,14,NA,2.63905732961526
1981,14,NA,2.63905732961526
1982,14,NA,2.63905732961526
1983,14,NA,2.63905732961526
1984,14,NA,2.63905732961526
1985,14,NA,2.63905732961526
1986,14,NA,2.63905732961526
1987,14,NA,2.63905732961526
1988,14,NA,2.63905732961526
1989,14,NA,2.63905732961526
1990,14,NA,2.63905732961526
1991,14,NA,2.63905732961526
1992,14,NA,2.63905732961526
1993,14,NA,2.63905732961526
1994,14,NA,2.63905732961526
1995,14,NA,2.63905732961526
1996,14,NA,2.63905732961526
1997,13,NA,2.56494935746154
1998,55,NA,4.00733318523247
1999,20,NA,2.99573227355399
2000,30,NA,3.40119738166216
2001,79,NA,4.36944785246702
2002,113,NA,4.72738781871234
2003,133,NA,4.89034912822175
2004,45,NA,3.80666248977032
2005,64,NA,4.15888308335967
2006,53,NA,3.97029191355212
2007,59,NA,4.07753744390572
2008,53,NA,3.97029191355212
2009,59,NA,4.07753744390572
2010,100,170788.239430615,4.60517018598809
2011,89,3663237.50704625,4.48863636973214
2012,87,3065831.62096066,4.46590811865458
2013,342,9630565.14992204,5.8348107370626
2014,442,16540222.2872153,6.0913098820777
2015,935,11017212.9705899,6.84054652928869
2016,882,4766061.89791615,6.78219205600679
2017,550,1518022.34620671,6.30991827822652
2018,567,330916.097162912,6.34035930372775
2019,571.5,4449525.66217801,6.34826448323486
2020,576,251816.334426284,6.35610766069589
2021,423,7460912.0196387,6.04737217904628
2022,277,18241131.9441846,5.62401750618734
2023,614,17346893.6389241,6.41999492814714
2024,307,9722872.9354228,5.7268477475872
