"year","eulachon_cr_pounds","eulachon_cr_nfish_10.8_per_pound","eulachon_cr_nfish_12.3_per_pound"
1976,3075100,33211080,37823730
1977,1753000,18932400,21561900
1978,2680300,28947240,32967690
1979,1156700,12492360,14227410
1980,3211500,34684200,39501450
1981,1672300,18060840,20569290
1982,2210000,23868000,27183000
1983,2730400,29488320,33583920
1984,498000,5378400,6125400
1985,2038000,22010400,25067400
1986,3838800,41459040,47217240
1987,1895700,20473560,23317110
1988,2867700,30971160,35272710
1989,3066800,33121440,37721640
1990,2784200,30069360,34245660
1991,2950400,31864320,36289920
1992,3673800,39677040,45187740
1993,513900,5550120,6320970
1994,43400,468720,533820
1995,440000,4752000,5412000
1996,9100,98280,111930
1997,58600,632880,720780
1998,12100,130680,148830
1999,20900,225720,257070
2000,31000,334800,381300
2001,313100,3381480,3851130
2002,721200,7788960,8870760
2003,1083400,11700720,13325820
2004,231600,2501280,2848680
2005,200,2160,2460
2006,13100,141480,161130
2007,8310,89748,102213
2008,17300,186840,212790
2009,17644,190555,217021
